URL,ID,Relation,Citing,Title,Abstract
https://www.semanticscholar.org/paper/SQuAD%3A-100%2C-000%2B-Questions-for-Machine-of-Text-Rajpurkar-Zhang/05dd7254b632376973f3a1b4d39485da17814df5,0,Origin,,"SQuAD: 100, 000+ Questions for Machine Comprehension of Text","We present the Stanford Question Answering Dataset (SQuAD), a new reading comprehension dataset consisting of 100,000+ questions posed by crowdworkers on a set of Wikipedia articles, where the answer to each question is a segment of text from the corresponding reading passage. We analyze the dataset to understand the types of reasoning required to answer the questions, leaning heavily on dependency and constituency trees. We build a strong logistic regression model, which achieves an F1 score of 51.0%, a significant improvement over a simple baseline (20%). However, human performance (86.8%) is much higher, indicating that the dataset presents a good challenge problem for future research.The dataset is freely available at this https URL"
https://www.semanticscholar.org/paper/Comparative-Analysis-of-Neural-QA-models-on-SQuAD-Wadhwa-Chandu/5eb16bfc64cda969228a27a7f0c8bbc988e53732,1,Direct,,Comparative Analysis of Neural QA models on SQuAD,"The task of Question Answering has gained prominence in the past few decades for testing the ability of machines to understand natural language. Large datasets for Machine Reading have led to the development of neural models that cater to deeper language understanding compared to information retrieval tasks. Different components in these neural architectures are intended to tackle different challenges. As a first step towards achieving generalization across multiple domains, we attempt to understand and compare the peculiarities of existing end-to-end neural models on the Stanford Question Answering Dataset (SQuAD) by performing quantitative as well as qualitative analysis of the results attained by each of them. We observed that prediction errors reflect certain model-specific biases, which we further discuss in this paper"
https://www.semanticscholar.org/paper/Ensemble-BERT-with-Data-Augmentation-and-Linguistic-Zhou/2f995b11ab14637458e7b8c2b592b0ceedc3b875,2,Direct,,Ensemble BERT with Data Augmentation and Linguistic Knowledge on SQuAD 2.0,"In this project, we proposed a question answering (QA) system based on baseline BERT model and significantly improved the single baseline BERT model on SQuAD 2.0. We adopted a novel data augmentation approach and integrated linguistic knowledge to build a robust ensemble model. Our model was ranked first place on both dev and test leaderboard, and achieved 79.91(EM)/82.43(F1) and 79.87(EM)/82.54(F1) on dev and test set respectively (March 20, 2019)."
https://www.semanticscholar.org/paper/A-Qualitative-Comparison-of-CoQA%2C-SQuAD-2.0-and-Yatskar/0a5606f0d56c618aa610cb1677e2788a3bd678fa,3,Direct,,"A Qualitative Comparison of CoQA, SQuAD 2.0 and QuAC","We compare three new datasets for question answering: SQuAD 2.0, QuAC, and CoQA, along several of their new features: (1) unanswerable questions, (2) multi-turn interactions, and (3) abstractive answers. We show that the datasets provide complementary coverage of the first two aspects, but weak coverage of the third. Because of the datasets' structural similarity, a single extractive model can be easily adapted to any of the datasets and we show improved baseline results on both SQuAD 2.0 and CoQA. Despite the similarity, models trained on one dataset are ineffective on another dataset, but we find moderate performance improvement through pretraining. To encourage cross-evaluation, we release code for conversion between datasets at this https URL"
https://www.semanticscholar.org/paper/Know-What-You-Don't-Know%3A-Unanswerable-Questions-Rajpurkar-Jia/4d1c856275744c0284312a3a50efb6ca9dc4cd4c,4,Direct,,Know What You Don't Know: Unanswerable Questions for SQuAD,"Extractive reading comprehension systems can often locate the correct answer to a question in a context document, but they also tend to make unreliable guesses on questions for which the correct answer is not stated in the context. Existing datasets either focus exclusively on answerable questions, or use automatically generated unanswerable questions that are easy to identify. To address these weaknesses, we present SQuAD 2.0, the latest version of the Stanford Question Answering Dataset (SQuAD). SQuAD 2.0 combines existing SQuAD data with over 50,000 unanswerable questions written adversarially by crowdworkers to look similar to answerable ones. To do well on SQuAD 2.0, systems must not only answer questions when possible, but also determine when no answer is supported by the paragraph and abstain from answering. SQuAD 2.0 is a challenging natural language understanding task for existing models: a strong neural system that gets 86% F1 on SQuAD 1.1 achieves only 66% F1 on SQuAD 2.0"
https://www.semanticscholar.org/paper/Stochastic-Answer-Networks-for-SQuAD-2.0-Liu-Li/d0095adcaa33bc549e273a824c3b66d92897fad8,5,Direct,,Stochastic Answer Networks for SQuAD 2.0,"This paper presents an extension of the Stochastic Answer Network (SAN), one of the state-of-the-art machine reading comprehension models, to be able to judge whether a question is unanswerable or not. The extended SAN contains two components: a span detector and a binary classifier for judging whether the question is unanswerable, and both components are jointly optimized. Experiments show that SAN achieves the results competitive to the state-of-the-art on Stanford Question Answering Dataset (SQuAD) 2.0. To facilitate the research on this field, we release our code: this https URL"
https://www.semanticscholar.org/paper/FastFusionNet%3A-New-State-of-the-Art-for-DAWNBench-Wu-Li/f4b141cb646590f5033b3412b618d6434e854015,6,Direct,,FastFusionNet: New State-of-the-Art for DAWNBench SQuAD,"In this technical report, we introduce FastFusionNet, an efficient variant of FusionNet [12]. FusionNet is a high performing reading comprehension architecture, which was designed primarily for maximum retrieval accuracy with less regard towards computational requirements. For FastFusionNets we remove the expensive CoVe layers [21] and substitute the BiLSTMs with far more efficient SRU layers [19]. The resulting architecture obtains state-of-the-art results on DAWNBench [5] while achieving the lowest training and inference time on SQuAD [25] to-date. The code is available at this https URL"
https://www.semanticscholar.org/paper/Lightweight-Convolutional-Approaches-to-Reading-on-Bell-Penchas/6b5e7c6444f3334905deb9dd72a234d25ac20f62,7,Direct,,Lightweight Convolutional Approaches to Reading Comprehension on SQuAD,"Current state-of-the-art reading comprehension models rely heavily on recurrent neural networks. We explored an entirely different approach to question answering: a convolutional model. By their nature, these convolutional models are fast to train and capture local dependencies well, though they can struggle with longer-range dependencies and thus require augmentation to achieve comparable performance to RNN-based models. We conducted over two dozen controlled experiments with convolutional models and various kernel/attention/regularization schemes to determine the precise performance gains of each strategy, while maintaining a focus on speed. We ultimately ensembled three models: crossconv (0.5398 dev F1), attnconv (0.5665), and maybeconv (0.5285). The ensembled model was able to achieve a 0.6238 F1 score using the official SQuAD evaluation script. Our individual convolutional model crossconv was able to exceed the performance of the RNN-plus-attention baseline by 25% while training 6 times faster"
https://www.semanticscholar.org/paper/New-Metric-Based-on-SQuAD-for-Evaluating-Accuracy-Kulkarni-Gupta/ee5abe5774c622f5019a4510d1743af50cb703a0,8,Direct,,New Metric Based on SQuAD for Evaluating Accuracy of Enterprise Search Algorithms,"Enterprise Search is a continuously evolving and important field, which is seeing a resurgence driven by artificial intelligence. Still, there is no objective, generally accepted way to compare various enterprise search systems. SQuAD is becoming popular for measuring algorithmic reading comprehension (MRC) but is ineffective for quantifying effectiveness of enterprise search in business-use situations. In this paper we modify the SQuAD scoring methodology to propose a scoring system for enterprise search systems that aligns with the real world expectations of users. Further, we use a search system based on Calibrated Quantum Mesh (CQM) to underscore the relevance of this metric"
https://www.semanticscholar.org/paper/Comparative-Study-of-Machine-Learning-Models-and-on-Patel-Raval/12867c63f39cbed83713dd0d68a56cda66554790,9,Direct,,Comparative Study of Machine Learning Models and BERT on SQuAD,"This study aims to provide a comparative analysis of performance of certain models popular in machine learning and the BERT model on the Stanford Question Answering Dataset (SQuAD). The analysis shows that the BERT model, which was once state-of-the-art on SQuAD, gives higher accuracy in comparison to other models. However, BERT requires a greater execution time even when only 100 samples are used. This shows that with increasing accuracy more amount of time is invested in training the data. Whereas in case of preliminary machine learning models, execution time for full data is lower but accuracy is compromised"
