,URL,ID,Type,Index,Text,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,group,group2,group3,group4,group5,group6,group7,group8,group9
0,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,0,"We introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers.",We introduce,"a new language representation model called BERT , which stands for Bidirectional Encoder Representations from Transformers",.,"['We', 'introduce', 'a', 'new', 'language', 'representation', 'model', 'called', 'BERT', ',', 'which', 'stands', 'for', 'Bidirectional', 'Encoder', 'Representations', 'from', 'Transformers', '.']","(2, 18)","(12, 134)",43,stands,"['which', 'We introduce a new language representation model called BERT ,']",[],0.0,1.0,69.0,76.0,56.0,63.0
1,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,1,"Unlike recent language representation models, BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers.","Unlike recent language representation models ,",BERT,is designed to pre - train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers .,"['Unlike', 'recent', 'language', 'representation', 'models', ',', 'BERT', 'is', 'designed', 'to', 'pre', '-', 'train', 'deep', 'bidirectional', 'representations', 'from', 'unlabeled', 'text', 'by', 'jointly', 'conditioning', 'on', 'both', 'left', 'and', 'right', 'context', 'in', 'all', 'layers', '.']","(6, 7)","(46, 50)",0,is designed,"['recent language representation models , BERT']",['pre - train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers .'],1.0,2.0,52.0,64.0,0.0,12.0
2,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,2,"As a result, the pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications.","As a result , the pre - trained",BERT,"model can be fine - tuned with just one additional output layer to create state - of - the - art models for a wide range of tasks , such as question answering and language inference , without substantial task - specific architecture modifications .","['As', 'a', 'result', ',', 'the', 'pre', '-', 'trained', 'BERT', 'model', 'can', 'be', 'fine', '-', 'tuned', 'with', 'just', 'one', 'additional', 'output', 'layer', 'to', 'create', 'state', '-', 'of', '-', 'the', '-', 'art', 'models', 'for', 'a', 'wide', 'range', 'of', 'tasks', ',', 'such', 'as', 'question', 'answering', 'and', 'language', 'inference', ',', 'without', 'substantial', 'task', '-', 'specific', 'architecture', 'modifications', '.']","(8, 9)","(31, 35)",0,,,,,,,,,
3,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,3,BERT is conceptually simple and empirically powerful.,,BERT,is conceptually simple and empirically powerful .,"['BERT', 'is', 'conceptually', 'simple', 'and', 'empirically', 'powerful', '.']","(0, 1)","(0, 4)",0,is,['BERT'],[],1.0,2.0,5.0,8.0,0.0,3.0
4,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,4,"It obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1 (5.1 point absolute improvement)",,It,"obtains new state - of - the - art results on eleven natural language processing tasks , including pushing the GLUE score to 80.5 % ( 7.7 % point absolute improvement ) , MultiNLI accuracy to 86.7 % ( 4.6 % absolute improvement ) , SQuAD v1.1 question answering Test F1 to 93.2 ( 1.5 point absolute improvement ) and SQuAD v2.0 Test F1 to 83.1 ( 5.1 point absolute improvement )","['It', 'obtains', 'new', 'state', '-', 'of', '-', 'the', '-', 'art', 'results', 'on', 'eleven', 'natural', 'language', 'processing', 'tasks', ',', 'including', 'pushing', 'the', 'GLUE', 'score', 'to', '80.5', '%', '(', '7.7', '%', 'point', 'absolute', 'improvement', ')', ',', 'MultiNLI', 'accuracy', 'to', '86.7', '%', '(', '4.6', '%', 'absolute', 'improvement', ')', ',', 'SQuAD', 'v1.1', 'question', 'answering', 'Test', 'F1', 'to', '93.2', '(', '1.5', 'point', 'absolute', 'improvement', ')', 'and', 'SQuAD', 'v2.0', 'Test', 'F1', 'to', '83.1', '(', '5.1', 'point', 'absolute', 'improvement', ')']","(0, 1)","(0, 2)",-1,obtains,[],"['new state - - the -', 'of art', 'results on eleven natural language processing tasks , including pushing the GLUE score to 80.5 % ( 7.7 % point absolute improvement ) , MultiNLI accuracy to 86.7 % % absolute improvement']",1.0,2.0,3.0,11.0,0.0,8.0
5,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Title,0,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding.,,BERT,: Pre-training of Deep Bidirectional Transformers for Language Understanding .,"['BERT', ':', 'Pre-training', 'of', 'Deep', 'Bidirectional', 'Transformers', 'for', 'Language', 'Understanding', '.']","(0, 1)","(0, 4)",0,,,,,,,,,
6,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,0,Language model pretraining has led to significant performance gains but careful comparison between different approaches is challenging.,Language model pretraining has led to significant performance gains but careful comparison between different approaches is challenging.,,,"['Language', 'model', 'pretraining', 'has', 'led', 'to', 'significant', 'performance', 'gains', 'but', 'careful', 'comparison', 'between', 'different', 'approaches', 'is', 'challenging.']",,,,,,,,,,,,
7,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,1,"Training is computationally expensive, often done on private datasets of different sizes, and, as we will show, hyperparameter choices have significant impact on the final results.","Training is computationally expensive, often done on private datasets of different sizes, and, as we will show, hyperparameter choices have significant impact on the final results.",,,"['Training', 'is', 'computationally', 'expensive,', 'often', 'done', 'on', 'private', 'datasets', 'of', 'different', 'sizes,', 'and,', 'as', 'we', 'will', 'show,', 'hyperparameter', 'choices', 'have', 'significant', 'impact', 'on', 'the', 'final', 'results.']",,,,,,,,,,,,
8,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,2,"We present a replication study of BERT pretraining (Devlin et al., 2019) that carefully measures the impact of many key hyperparameters and training data size.",We present a replication study of,BERT,"pretraining ( Devlin et al . , 2019 ) that carefully measures the impact of many key hyperparameters and training data size .","['We', 'present', 'a', 'replication', 'study', 'of', 'BERT', 'pretraining', '(', 'Devlin', 'et', 'al', '.', ',', '2019', ')', 'that', 'carefully', 'measures', 'the', 'impact', 'of', 'many', 'key', 'hyperparameters', 'and', 'training', 'data', 'size', '.']","(6, 7)","(33, 37)",0,present,['We'],"['a replication study of BERT pretraining ( Devlin et al . , 2019 )']",-1.0,0.0,3.0,11.0,3.0,11.0
9,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,3,"We find that BERT was significantly undertrained, and can match or exceed the performance of every model published after it.",We find that,BERT,"was significantly undertrained , and can match or exceed the performance of every model published after it .","['We', 'find', 'that', 'BERT', 'was', 'significantly', 'undertrained', ',', 'and', 'can', 'match', 'or', 'exceed', 'the', 'performance', 'of', 'every', 'model', 'published', 'after', 'it', '.']","(3, 4)","(12, 16)",0,find,[],"['that BERT was significantly undertrained , and can match or exceed the performance of every model published after it .']",-1.0,0.0,3.0,8.0,3.0,8.0
