,URL,ID,Type,Index,Text,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,group,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14,group15,group16
0,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,0,"We introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers.",We introduce a new language representation model called,BERT,", which stands for Bidirectional Encoder Representations from Transformers .","['We', 'introduce', 'a', 'new', 'language', 'representation', 'model', 'called', 'BERT', ',', 'which', 'stands', 'for', 'Bidirectional', 'Encoder', 'Representations', 'from', 'Transformers', '.']","(8, 9)","(55, 59)",0,We,0,0,2,0,2,"[(0, 2)]",introduce,0,3,12,3,12,"[(3, 12)]",['We'],['introduce']
1,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,1,"Unlike recent language representation models, BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers.","Unlike recent language representation models ,",BERT,is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers .,"['Unlike', 'recent', 'language', 'representation', 'models', ',', 'BERT', 'is', 'designed', 'to', 'pre-train', 'deep', 'bidirectional', 'representations', 'from', 'unlabeled', 'text', 'by', 'jointly', 'conditioning', 'on', 'both', 'left', 'and', 'right', 'context', 'in', 'all', 'layers', '.']","(6, 7)","(46, 50)",0,BERT,1,47,51,0,4,"[(47, 51)]",is designed,2,52,63,0,11,"[(52, 54), (55, 63)]",['BERT'],"['is', 'designed', 'pre', '-', 'train']"
2,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,2,"As a result, the pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications.","As a result , the pre-trained",BERT,"model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks , such as question answering and language inference , without substantial task-specific architecture modifications .","['As', 'a', 'result', ',', 'the', 'pre-trained', 'BERT', 'model', 'can', 'be', 'fine-tuned', 'with', 'just', 'one', 'additional', 'output', 'layer', 'to', 'create', 'state-of-the-art', 'models', 'for', 'a', 'wide', 'range', 'of', 'tasks', ',', 'such', 'as', 'question', 'answering', 'and', 'language', 'inference', ',', 'without', 'substantial', 'task-specific', 'architecture', 'modifications', '.']","(6, 7)","(29, 33)",0,the pre - trained BERT model,0,14,42,14,42,"[(14, 17), (18, 21), (22, 23), (24, 31), (32, 36), (37, 42)]",can be tuned,2,43,62,8,27,"[(43, 46), (47, 49), (57, 62)]","['the', 'pre', '-', 'trained', 'BERT', 'model']","['can', 'be', 'tuned']"
3,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,3,BERT is conceptually simple and empirically powerful.,,BERT,is conceptually simple and empirically powerful .,"['BERT', 'is', 'conceptually', 'simple', 'and', 'empirically', 'powerful', '.']","(0, 1)","(0, 4)",0,BERT,1,0,4,0,4,"[(0, 4)]",is,2,5,7,0,2,"[(5, 7)]",['BERT'],['is']
4,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,4,"It obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1 (5.1 point absolute improvement)","It obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1 (5.1 point absolute improvement)",,,"['It', 'obtains', 'new', 'state-of-the-art', 'results', 'on', 'eleven', 'natural', 'language', 'processing', 'tasks,', 'including', 'pushing', 'the', 'GLUE', 'score', 'to', '80.5%', '(7.7%', 'point', 'absolute', 'improvement),', 'MultiNLI', 'accuracy', 'to', '86.7%', '(4.6%', 'absolute', 'improvement),', 'SQuAD', 'v1.1', 'question', 'answering', 'Test', 'F1', 'to', '93.2', '(1.5', 'point', 'absolute', 'improvement)', 'and', 'SQuAD', 'v2.0', 'Test', 'F1', 'to', '83.1', '(5.1', 'point', 'absolute', 'improvement)']",,,,It,0,0,2,0,2,"[(0, 2)]",obtains,0,3,10,3,10,"[(3, 10)]",['It'],['obtains']
5,https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Title,0,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding.,,BERT,: Pre-training of Deep Bidirectional Transformers for Language Understanding .,"['BERT', ':', 'Pre-training', 'of', 'Deep', 'Bidirectional', 'Transformers', 'for', 'Language', 'Understanding', '.']","(0, 1)","(0, 4)",0,BERT Pre - training,1,0,21,0,21,"[(0, 4), (7, 10), (11, 12), (13, 21)]",,,,,,,[],"['BERT', 'Pre', '-', 'training']",[]
6,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,0,Language model pretraining has led to significant performance gains but careful comparison between different approaches is challenging.,Language model pretraining has led to significant performance gains but careful comparison between different approaches is challenging.,,,"['Language', 'model', 'pretraining', 'has', 'led', 'to', 'significant', 'performance', 'gains', 'but', 'careful', 'comparison', 'between', 'different', 'approaches', 'is', 'challenging.']",,,,,,,,,,[],but,0,68,71,68,71,"[(68, 71)]","['Language', 'model', 'pretraining', 'careful', 'comparison']","['has', 'led', 'is']"
7,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,1,"Training is computationally expensive, often done on private datasets of different sizes, and, as we will show, hyperparameter choices have significant impact on the final results.","Training is computationally expensive, often done on private datasets of different sizes, and, as we will show, hyperparameter choices have significant impact on the final results.",,,"['Training', 'is', 'computationally', 'expensive,', 'often', 'done', 'on', 'private', 'datasets', 'of', 'different', 'sizes,', 'and,', 'as', 'we', 'will', 'show,', 'hyperparameter', 'choices', 'have', 'significant', 'impact', 'on', 'the', 'final', 'results.']",,,,,,,,,,[],and,0,92,95,92,95,"[(92, 95)]","['Training', 'hyperparameter', 'choices']","['is', 'done', 'have']"
8,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,2,"We present a replication study of BERT pretraining (Devlin et al., 2019) that carefully measures the impact of many key hyperparameters and training data size.",We present a replication study of,BERT,"pretraining ( Devlin et al. , 2019 ) that carefully measures the impact of many key hyperparameters and training data size .","['We', 'present', 'a', 'replication', 'study', 'of', 'BERT', 'pretraining', '(', 'Devlin', 'et', 'al.', ',', '2019', ')', 'that', 'carefully', 'measures', 'the', 'impact', 'of', 'many', 'key', 'hyperparameters', 'and', 'training', 'data', 'size', '.']","(6, 7)","(33, 37)",0,We,0,0,2,0,2,"[(0, 2)]",present,0,3,10,3,10,"[(3, 10)]",['We'],['present']
9,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,3,"We find that BERT was significantly undertrained, and can match or exceed the performance of every model published after it.",We find that,BERT,"was significantly undertrained , and can match or exceed the performance of every model published after it .","['We', 'find', 'that', 'BERT', 'was', 'significantly', 'undertrained', ',', 'and', 'can', 'match', 'or', 'exceed', 'the', 'performance', 'of', 'every', 'model', 'published', 'after', 'it', '.']","(3, 4)","(12, 16)",0,We,0,0,2,0,2,"[(0, 2)]",find,0,3,7,3,7,"[(3, 7)]",['We'],['find']
