,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_subj_allspans,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_verb_allspans,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index
0,"Reading comprehension has recently seen rapid progress, with systems matching humans on the most popular datasets for the task.",,,S,"['NP', 'VP', '.']",comprehension,0.0,8.0,21.0,8.0,21.0,"[(8, 21)]",has seen,0.0,22.0,39.0,22.0,39.0,"[(22, 25), (35, 39)]",['comprehension'],"['has', 'seen']",,,,,,,,,,recently,has recently,['Reading comprehension'],"['seen rapid progress , with systems matching humans on the most popular datasets for the task']",0,22,35,22,35,,,,,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,0,"Reading comprehension has recently seen rapid progress, with systems matching humans on the most popular datasets for the task.","['Reading', 'comprehension', 'has', 'recently', 'seen', 'rapid', 'progress,', 'with', 'systems', 'matching', 'humans', 'on', 'the', 'most', 'popular', 'datasets', 'for', 'the', 'task.']",,,
1,"However, a large body of work has highlighted the brittleness of these systems, showing that there is much work left to be done.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",a large body,0.0,10.0,22.0,10.0,22.0,"[(10, 11), (12, 17), (18, 22)]",has highlighted,0.0,31.0,46.0,31.0,46.0,"[(31, 34), (35, 46)]","['a', 'large', 'body']","['has', 'highlighted', 'showing']",,,,,,,,,,highlighted,has highlighted,"['However', ',', 'a large body of work']",['the brittleness of these systems'],0,31,47,31,47,,,,,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,1,"However, a large body of work has highlighted the brittleness of these systems, showing that there is much work left to be done.","['However,', 'a', 'large', 'body', 'of', 'work', 'has', 'highlighted', 'the', 'brittleness', 'of', 'these', 'systems,', 'showing', 'that', 'there', 'is', 'much', 'work', 'left', 'to', 'be', 'done.']",,,
2,We introduce,"a new English reading comprehension benchmark , DROP , which requires Discrete Reasoning Over the content of Paragraphs",.,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,"[(0, 2)]",introduce,0.0,3.0,12.0,3.0,12.0,"[(3, 12)]",['We'],['introduce'],requires,"['which', 'We', 'introduce a new English reading comprehension benchmark , DROP']",['Discrete Reasoning Over the content of Paragraphs'],0.0,1.0,74.0,83.0,61.0,70.0,requires,requires,"['which', 'We', 'introduce a new English reading comprehension benchmark , DROP']",['Discrete Reasoning Over the content of Paragraphs'],1,74,83,61,70,,,['VERB'],['requires'],https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,2,"We introduce a new English reading comprehension benchmark, DROP, which requires Discrete Reasoning Over the content of Paragraphs.","['We', 'introduce', 'a', 'new', 'English', 'reading', 'comprehension', 'benchmark', ',', 'DROP', ',', 'which', 'requires', 'Discrete', 'Reasoning', 'Over', 'the', 'content', 'of', 'Paragraphs', '.']","(2, 20)","(12, 131)",48.0
3,In,"this crowdsourced , adversarially - created , 96k - question benchmark",", a system must resolve references in a question , perhaps to multiple input positions , and perform discrete operations over them ( such as addition , counting , or sorting ) .",S,"['PP', ',', 'NP', 'VP', '.']",a system,2.0,76.0,84.0,2.0,10.0,"[(76, 77), (78, 84)]",must resolve and perform,2.0,85.0,174.0,11.0,100.0,"[(85, 89), (90, 97), (163, 166), (167, 174)]","['a', 'system']","['must', 'resolve', 'perform']",must resolve,"[', a system']",[],1.0,2.0,85.0,98.0,11.0,24.0,references,references,"['In this crowdsourced , adversarially - created , 96k - question benchmark , a system must resolve']",[],2,98,109,24,35,resolve,a,"['ADJ', 'ADP', 'VERB']","['crowdsourced', 'In', 'resolve']",https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,3,"In this crowdsourced, adversarially-created, 96k-question benchmark, a system must resolve references in a question, perhaps to multiple input positions, and perform discrete operations over them (such as addition, counting, or sorting).","['In', 'this', 'crowdsourced', ',', 'adversarially', '-', 'created', ',', '96k', '-', 'question', 'benchmark', ',', 'a', 'system', 'must', 'resolve', 'references', 'in', 'a', 'question', ',', 'perhaps', 'to', 'multiple', 'input', 'positions', ',', 'and', 'perform', 'discrete', 'operations', 'over', 'them', '(', 'such', 'as', 'addition', ',', 'counting', ',', 'or', 'sorting', ')', '.']","(1, 12)","(2, 72)",-1.0
4,These operations require a much more comprehensive understanding of the content of paragraphs than what was necessary for prior datasets.,,,S,"['NP', 'VP', '.']",These operations,0.0,0.0,16.0,0.0,16.0,"[(0, 5), (6, 16)]",require,0.0,17.0,24.0,17.0,24.0,"[(17, 24)]","['These', 'operations']",['require'],,,,,,,,,,require,require,['These operations'],['a much more comprehensive understanding of the content of paragraphs than what was necessary for prior datasets .'],0,17,25,17,25,,,,,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,4,These operations require a much more comprehensive understanding of the content of paragraphs than what was necessary for prior datasets.,"['These', 'operations', 'require', 'a', 'much', 'more', 'comprehensive', 'understanding', 'of', 'the', 'content', 'of', 'paragraphs', 'than', 'what', 'was', 'necessary', 'for', 'prior', 'datasets.']",,,
5,We apply state - of - the - art methods from both the reading comprehension and semantic parsing literature on,this dataset,"and show that the best systems only achieve 32.7 % F1 on our generalized accuracy metric , while expert human performance is 96.0 % .",S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,"[(0, 2)]",apply and show,0.0,3.0,132.0,3.0,132.0,"[(3, 8), (124, 127), (128, 132)]",['We'],"['apply', 'show']",,,,,,,,,,We,We,[],"['apply state - of - the - art methods from both the reading comprehension and semantic parsing literature on this dataset and show that the best systems only achieve 32.7 % F1 on our generalized accuracy metric , while expert human performance is 96.0 % .']",0,0,3,0,3,achieve,and,"['NOUN', 'ADP', 'NOUN']","['dataset', 'on', 'comprehension']",https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,5,"We apply state-of-the-art methods from both the reading comprehension and semantic parsing literature on this dataset and show that the best systems only achieve 32.7% F1 on our generalized accuracy metric, while expert human performance is 96.0%.","['We', 'apply', 'state', '-', 'of', '-', 'the', '-', 'art', 'methods', 'from', 'both', 'the', 'reading', 'comprehension', 'and', 'semantic', 'parsing', 'literature', 'on', 'this', 'dataset', 'and', 'show', 'that', 'the', 'best', 'systems', 'only', 'achieve', '32.7', '%', 'F1', 'on', 'our', 'generalized', 'accuracy', 'metric', ',', 'while', 'expert', 'human', 'performance', 'is', '96.0', '%', '.']","(20, 22)","(110, 122)",-1.0
6,We additionally present a new model that combines reading comprehension methods with simple numerical reasoning to achieve 47.0% F1.,,,S,"['NP', 'ADVP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,"[(0, 2)]",present,0.0,16.0,23.0,16.0,23.0,"[(16, 23)]",['We'],['present'],,,,,,,,,,We,We,[],['additionally present a new model that combines reading comprehension methods with simple numerical reasoning to achieve 47.0 % F1 .'],0,0,3,0,3,,,,,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,6,We additionally present a new model that combines reading comprehension methods with simple numerical reasoning to achieve 47.0% F1.,"['We', 'additionally', 'present', 'a', 'new', 'model', 'that', 'combines', 'reading', 'comprehension', 'methods', 'with', 'simple', 'numerical', 'reasoning', 'to', 'achieve', '47.0%', 'F1.']",,,
7,,DROP,: A Reading Comprehension Benchmark Requiring Discrete Reasoning Over Paragraphs .,NP,"['NP', ':', 'NP', '.']",DROP A Reading Comprehension Benchmark,1.0,0.0,40.0,0.0,40.0,"[(0, 4), (7, 8), (9, 16), (17, 30), (31, 40)]",,,,,,,[],"['DROP', 'A', 'Reading', 'Comprehension', 'Benchmark']",[],,,,,,,,,,DROP,DROP,[],[': A Reading Comprehension Benchmark Requiring Discrete Reasoning Over Paragraphs .'],1,0,5,0,5,,A,['PROPN'],['DROP'],https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Title,0,DROP: A Reading Comprehension Benchmark Requiring Discrete Reasoning Over Paragraphs.,"['DROP', ':', 'A', 'Reading', 'Comprehension', 'Benchmark', 'Requiring', 'Discrete', 'Reasoning', 'Over', 'Paragraphs', '.']","(0, 1)","(0, 4)",0.0
8,"Machine reading comprehension, the task of evaluating a machine’s ability to comprehend a passage of text, has seen a surge in popularity in recent years.",,,S,"['NP', 'VP', '.']",Machine reading comprehension the task,0.0,0.0,40.0,0.0,40.0,"[(0, 7), (8, 15), (16, 29), (32, 35), (36, 40)]",has seen,0.0,110.0,118.0,110.0,118.0,"[(110, 113), (114, 118)]","['Machine', 'reading', 'comprehension', 'the', 'task']","['has', 'seen']",,,,,,,,,,seen,seen,"['the task of evaluating a machine ’s ability to comprehend a passage of text ,', 'has']","['a surge', 'in popularity', '.']",0,114,119,114,119,,,,,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,0,"Machine reading comprehension, the task of evaluating a machine’s ability to comprehend a passage of text, has seen a surge in popularity in recent years.","['Machine', 'reading', 'comprehension,', 'the', 'task', 'of', 'evaluating', 'a', 'machine’s', 'ability', 'to', 'comprehend', 'a', 'passage', 'of', 'text,', 'has', 'seen', 'a', 'surge', 'in', 'popularity', 'in', 'recent', 'years.']",,,
9,"There are many datasets that are targeted at reading comprehension, and many systems that perform as well as humans on some of these datasets.",,,S,"['NP', 'VP', '.']",,,,,,,[],are,0.0,6.0,9.0,6.0,9.0,"[(6, 9)]",[],['are'],,,,,,,,,,are,are,['many datasets'],"['that are and many systems that perform as well as humans on some of these datasets', 'targeted at reading comprehension ,', '.']",0,6,10,6,10,,,,,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,1,"There are many datasets that are targeted at reading comprehension, and many systems that perform as well as humans on some of these datasets.","['There', 'are', 'many', 'datasets', 'that', 'are', 'targeted', 'at', 'reading', 'comprehension,', 'and', 'many', 'systems', 'that', 'perform', 'as', 'well', 'as', 'humans', 'on', 'some', 'of', 'these', 'datasets.']",,,
