,URL,ID,Type,Index,Text,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,group,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14
0,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,0,"Reading comprehension has recently seen rapid progress, with systems matching humans on the most popular datasets for the task.","Reading comprehension has recently seen rapid progress, with systems matching humans on the most popular datasets for the task.",,,"['Reading', 'comprehension', 'has', 'recently', 'seen', 'rapid', 'progress,', 'with', 'systems', 'matching', 'humans', 'on', 'the', 'most', 'popular', 'datasets', 'for', 'the', 'task.']",,,,comprehension,0,8,21,8,21,has seen,0,22,39,22,39,['comprehension'],"['has', 'seen']"
1,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,1,"However, a large body of work has highlighted the brittleness of these systems, showing that there is much work left to be done.","However, a large body of work has highlighted the brittleness of these systems, showing that there is much work left to be done.",,,"['However,', 'a', 'large', 'body', 'of', 'work', 'has', 'highlighted', 'the', 'brittleness', 'of', 'these', 'systems,', 'showing', 'that', 'there', 'is', 'much', 'work', 'left', 'to', 'be', 'done.']",,,,a large body,0,10,22,10,22,has highlighted,0,31,46,31,46,"['a', 'large', 'body']","['has', 'highlighted', 'showing']"
2,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,2,"We introduce a new English reading comprehension benchmark, DROP, which requires Discrete Reasoning Over the content of Paragraphs.",We introduce,"a new English reading comprehension benchmark , DROP , which requires Discrete Reasoning Over the content of Paragraphs",.,"['We', 'introduce', 'a', 'new', 'English', 'reading', 'comprehension', 'benchmark', ',', 'DROP', ',', 'which', 'requires', 'Discrete', 'Reasoning', 'Over', 'the', 'content', 'of', 'Paragraphs', '.']","(2, 20)","(12, 131)",48,We,0,0,2,0,2,introduce,0,3,12,3,12,['We'],['introduce']
3,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,3,"In this crowdsourced, adversarially-created, 96k-question benchmark, a system must resolve references in a question, perhaps to multiple input positions, and perform discrete operations over them (such as addition, counting, or sorting).",In,"this crowdsourced , adversarially - created , 96k - question benchmark",", a system must resolve references in a question , perhaps to multiple input positions , and perform discrete operations over them ( such as addition , counting , or sorting ) .","['In', 'this', 'crowdsourced', ',', 'adversarially', '-', 'created', ',', '96k', '-', 'question', 'benchmark', ',', 'a', 'system', 'must', 'resolve', 'references', 'in', 'a', 'question', ',', 'perhaps', 'to', 'multiple', 'input', 'positions', ',', 'and', 'perform', 'discrete', 'operations', 'over', 'them', '(', 'such', 'as', 'addition', ',', 'counting', ',', 'or', 'sorting', ')', '.']","(1, 12)","(2, 72)",-1,a system,2,76,84,2,10,must resolve and perform,2,85,174,11,100,"['a', 'system']","['must', 'resolve', 'perform']"
4,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,4,These operations require a much more comprehensive understanding of the content of paragraphs than what was necessary for prior datasets.,These operations require a much more comprehensive understanding of the content of paragraphs than what was necessary for prior datasets.,,,"['These', 'operations', 'require', 'a', 'much', 'more', 'comprehensive', 'understanding', 'of', 'the', 'content', 'of', 'paragraphs', 'than', 'what', 'was', 'necessary', 'for', 'prior', 'datasets.']",,,,These operations,0,0,16,0,16,require,0,17,24,17,24,"['These', 'operations']",['require']
5,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,5,"We apply state-of-the-art methods from both the reading comprehension and semantic parsing literature on this dataset and show that the best systems only achieve 32.7% F1 on our generalized accuracy metric, while expert human performance is 96.0%.",We apply state - of - the - art methods from both the reading comprehension and semantic parsing literature on,this dataset,"and show that the best systems only achieve 32.7 % F1 on our generalized accuracy metric , while expert human performance is 96.0 % .","['We', 'apply', 'state', '-', 'of', '-', 'the', '-', 'art', 'methods', 'from', 'both', 'the', 'reading', 'comprehension', 'and', 'semantic', 'parsing', 'literature', 'on', 'this', 'dataset', 'and', 'show', 'that', 'the', 'best', 'systems', 'only', 'achieve', '32.7', '%', 'F1', 'on', 'our', 'generalized', 'accuracy', 'metric', ',', 'while', 'expert', 'human', 'performance', 'is', '96.0', '%', '.']","(20, 22)","(110, 122)",-1,We,0,0,2,0,2,apply and show,0,3,132,3,132,['We'],"['apply', 'show']"
6,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,6,We additionally present a new model that combines reading comprehension methods with simple numerical reasoning to achieve 47.0% F1.,We additionally present a new model that combines reading comprehension methods with simple numerical reasoning to achieve 47.0% F1.,,,"['We', 'additionally', 'present', 'a', 'new', 'model', 'that', 'combines', 'reading', 'comprehension', 'methods', 'with', 'simple', 'numerical', 'reasoning', 'to', 'achieve', '47.0%', 'F1.']",,,,We,0,0,2,0,2,present,0,16,23,16,23,['We'],['present']
7,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Title,0,DROP: A Reading Comprehension Benchmark Requiring Discrete Reasoning Over Paragraphs.,,DROP,: A Reading Comprehension Benchmark Requiring Discrete Reasoning Over Paragraphs .,"['DROP', ':', 'A', 'Reading', 'Comprehension', 'Benchmark', 'Requiring', 'Discrete', 'Reasoning', 'Over', 'Paragraphs', '.']","(0, 1)","(0, 4)",0,DROP A Reading Comprehension Benchmark,1,0,40,0,40,,,,,,,"['DROP', 'A', 'Reading', 'Comprehension', 'Benchmark']",[]
8,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,0,"Machine reading comprehension, the task of evaluating a machine’s ability to comprehend a passage of text, has seen a surge in popularity in recent years.","Machine reading comprehension, the task of evaluating a machine’s ability to comprehend a passage of text, has seen a surge in popularity in recent years.",,,"['Machine', 'reading', 'comprehension,', 'the', 'task', 'of', 'evaluating', 'a', 'machine’s', 'ability', 'to', 'comprehend', 'a', 'passage', 'of', 'text,', 'has', 'seen', 'a', 'surge', 'in', 'popularity', 'in', 'recent', 'years.']",,,,Machine reading comprehension the task,0,0,40,0,40,has seen,0,110,118,110,118,"['Machine', 'reading', 'comprehension', 'the', 'task']","['has', 'seen']"
9,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,1,"There are many datasets that are targeted at reading comprehension, and many systems that perform as well as humans on some of these datasets.","There are many datasets that are targeted at reading comprehension, and many systems that perform as well as humans on some of these datasets.",,,"['There', 'are', 'many', 'datasets', 'that', 'are', 'targeted', 'at', 'reading', 'comprehension,', 'and', 'many', 'systems', 'that', 'perform', 'as', 'well', 'as', 'humans', 'on', 'some', 'of', 'these', 'datasets.']",,,,,,,,,,are,0,6,9,6,9,[],['are']
