,URL,ID,Type,Index,Text,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,group,group2
0,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,0,"Reading comprehension has recently seen rapid progress, with systems matching humans on the most popular datasets for the task.","Reading comprehension has recently seen rapid progress, with systems matching humans on the most popular datasets for the task.",,,"['Reading', 'comprehension', 'has', 'recently', 'seen', 'rapid', 'progress,', 'with', 'systems', 'matching', 'humans', 'on', 'the', 'most', 'popular', 'datasets', 'for', 'the', 'task.']",,,,S,"['NP', 'VP', '.']"
1,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,1,"However, a large body of work has highlighted the brittleness of these systems, showing that there is much work left to be done.","However, a large body of work has highlighted the brittleness of these systems, showing that there is much work left to be done.",,,"['However,', 'a', 'large', 'body', 'of', 'work', 'has', 'highlighted', 'the', 'brittleness', 'of', 'these', 'systems,', 'showing', 'that', 'there', 'is', 'much', 'work', 'left', 'to', 'be', 'done.']",,,,S,"['ADVP', ',', 'NP', 'VP', '.']"
2,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,2,"We introduce a new English reading comprehension benchmark, DROP, which requires Discrete Reasoning Over the content of Paragraphs.","We introduce a new English reading comprehension benchmark ,",DROP,", which requires Discrete Reasoning Over the content of Paragraphs .","['We', 'introduce', 'a', 'new', 'English', 'reading', 'comprehension', 'benchmark', ',', 'DROP', ',', 'which', 'requires', 'Discrete', 'Reasoning', 'Over', 'the', 'content', 'of', 'Paragraphs', '.']","(9, 10)","(60, 64)",0,S,"['NP', 'VP', '.']"
3,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,3,"In this crowdsourced, adversarially-created, 96k-question benchmark, a system must resolve references in a question, perhaps to multiple input positions, and perform discrete operations over them (such as addition, counting, or sorting).","In this crowdsourced, adversarially-created, 96k-question benchmark, a system must resolve references in a question, perhaps to multiple input positions, and perform discrete operations over them (such as addition, counting, or sorting).",,,"['In', 'this', 'crowdsourced,', 'adversarially-created,', '96k-question', 'benchmark,', 'a', 'system', 'must', 'resolve', 'references', 'in', 'a', 'question,', 'perhaps', 'to', 'multiple', 'input', 'positions,', 'and', 'perform', 'discrete', 'operations', 'over', 'them', '(such', 'as', 'addition,', 'counting,', 'or', 'sorting).']",,,,S,"['PP', ',', 'NP', 'VP', '.']"
4,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,4,These operations require a much more comprehensive understanding of the content of paragraphs than what was necessary for prior datasets.,These operations require a much more comprehensive understanding of the content of paragraphs than what was necessary for prior datasets.,,,"['These', 'operations', 'require', 'a', 'much', 'more', 'comprehensive', 'understanding', 'of', 'the', 'content', 'of', 'paragraphs', 'than', 'what', 'was', 'necessary', 'for', 'prior', 'datasets.']",,,,S,"['NP', 'VP', '.']"
5,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,5,"We apply state-of-the-art methods from both the reading comprehension and semantic parsing literature on this dataset and show that the best systems only achieve 32.7% F1 on our generalized accuracy metric, while expert human performance is 96.0%.","We apply state-of-the-art methods from both the reading comprehension and semantic parsing literature on this dataset and show that the best systems only achieve 32.7% F1 on our generalized accuracy metric, while expert human performance is 96.0%.",,,"['We', 'apply', 'state-of-the-art', 'methods', 'from', 'both', 'the', 'reading', 'comprehension', 'and', 'semantic', 'parsing', 'literature', 'on', 'this', 'dataset', 'and', 'show', 'that', 'the', 'best', 'systems', 'only', 'achieve', '32.7%', 'F1', 'on', 'our', 'generalized', 'accuracy', 'metric,', 'while', 'expert', 'human', 'performance', 'is', '96.0%.']",,,,S,"['NP', 'VP', '.']"
6,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Abstract,6,We additionally present a new model that combines reading comprehension methods with simple numerical reasoning to achieve 47.0% F1.,We additionally present a new model that combines reading comprehension methods with simple numerical reasoning to achieve 47.0% F1.,,,"['We', 'additionally', 'present', 'a', 'new', 'model', 'that', 'combines', 'reading', 'comprehension', 'methods', 'with', 'simple', 'numerical', 'reasoning', 'to', 'achieve', '47.0%', 'F1.']",,,,S,"['NP', 'ADVP', 'VP', '.']"
7,https://www.semanticscholar.org/paper/DROP%3A-A-Reading-Comprehension-Benchmark-Requiring-Dua-Wang/dda6fb309f62e2557a071522354d8c2c897a2805#citing-papers,0,Title,0,DROP: A Reading Comprehension Benchmark Requiring Discrete Reasoning Over Paragraphs.,,DROP,: A Reading Comprehension Benchmark Requiring Discrete Reasoning Over Paragraphs .,"['DROP', ':', 'A', 'Reading', 'Comprehension', 'Benchmark', 'Requiring', 'Discrete', 'Reasoning', 'Over', 'Paragraphs', '.']","(0, 1)","(0, 4)",0,NP,"['NP', ':', 'NP', '.']"
8,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,0,"Machine reading comprehension, the task of evaluating a machine’s ability to comprehend a passage of text, has seen a surge in popularity in recent years.","Machine reading comprehension, the task of evaluating a machine’s ability to comprehend a passage of text, has seen a surge in popularity in recent years.",,,"['Machine', 'reading', 'comprehension,', 'the', 'task', 'of', 'evaluating', 'a', 'machine’s', 'ability', 'to', 'comprehend', 'a', 'passage', 'of', 'text,', 'has', 'seen', 'a', 'surge', 'in', 'popularity', 'in', 'recent', 'years.']",,,,S,"['NP', 'VP', '.']"
9,https://www.semanticscholar.org/paper/On-Making-Reading-Comprehension-More-Comprehensive-Gardner-Berant/c2c165dd615d4fc31d4fef4b4acbcab1a1655983,1,Abstract,1,"There are many datasets that are targeted at reading comprehension, and many systems that perform as well as humans on some of these datasets.","There are many datasets that are targeted at reading comprehension, and many systems that perform as well as humans on some of these datasets.",,,"['There', 'are', 'many', 'datasets', 'that', 'are', 'targeted', 'at', 'reading', 'comprehension,', 'and', 'many', 'systems', 'that', 'perform', 'as', 'well', 'as', 'humans', 'on', 'some', 'of', 'these', 'datasets.']",,,,S,"['NP', 'VP', '.']"
