,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index
0,"Natural language processing tasks, such as question answering, machine translation, reading comprehension, and summarization, are typically approached with supervised learning on taskspecific datasets.",,,S,"['NP', 'VP', '.']",Natural language processing tasks,0.0,0.0,33.0,0.0,33.0,are approached,0.0,131.0,155.0,131.0,155.0,"['Natural', 'language', 'processing', 'tasks']","['are', 'approached']",,,,,,,,,,approached,are approached,"['Natural language processing tasks , such as question answering , machine translation , reading comprehension , and summarization , typically']",[],0,131,156,131,156,,,,,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,0,"Natural language processing tasks, such as question answering, machine translation, reading comprehension, and summarization, are typically approached with supervised learning on taskspecific datasets.","['Natural', 'language', 'processing', 'tasks,', 'such', 'as', 'question', 'answering,', 'machine', 'translation,', 'reading', 'comprehension,', 'and', 'summarization,', 'are', 'typically', 'approached', 'with', 'supervised', 'learning', 'on', 'taskspecific', 'datasets.']",,,
1,We demonstrate that language models begin to learn these tasks without any explicit supervision when trained on a new dataset of millions of webpages called WebText.,,,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,demonstrate,0.0,3.0,14.0,3.0,14.0,['We'],['demonstrate'],,,,,,,,,,demonstrate,demonstrate,['We'],[],0,3,15,3,15,,,,,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,1,We demonstrate that language models begin to learn these tasks without any explicit supervision when trained on a new dataset of millions of webpages called WebText.,"['We', 'demonstrate', 'that', 'language', 'models', 'begin', 'to', 'learn', 'these', 'tasks', 'without', 'any', 'explicit', 'supervision', 'when', 'trained', 'on', 'a', 'new', 'dataset', 'of', 'millions', 'of', 'webpages', 'called', 'WebText.']",,,
2,"When conditioned on a document plus questions, the answers generated by the language model reach 55 F1 on the CoQA dataset matching or exceeding the performance of 3 out of 4 baseline systems without using the 127,000+ training examples.",,,S,"['SBAR', ',', 'NP', 'VP', '.']",the answers,0.0,48.0,59.0,48.0,59.0,reach,0.0,92.0,97.0,92.0,97.0,"['the', 'answers']",['reach'],,,,,,,,,,conditioned,conditioned,[],[],0,5,17,5,17,,,,,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,2,"When conditioned on a document plus questions, the answers generated by the language model reach 55 F1 on the CoQA dataset matching or exceeding the performance of 3 out of 4 baseline systems without using the 127,000+ training examples.","['When', 'conditioned', 'on', 'a', 'document', 'plus', 'questions,', 'the', 'answers', 'generated', 'by', 'the', 'language', 'model', 'reach', '55', 'F1', 'on', 'the', 'CoQA', 'dataset', 'matching', 'or', 'exceeding', 'the', 'performance', 'of', '3', 'out', 'of', '4', 'baseline', 'systems', 'without', 'using', 'the', '127,000+', 'training', 'examples.']",,,
3,The capacity of the language model is essential to the success of zero-shot task transfer and increasing it improves performance in a log-linear fashion across tasks.,,,S,"['NP', 'VBZ', 'JJ', 'IN', 'NP', 'HYPH', 'NP', 'CC', 'VP', '.']",The capacity essential the success shot task transfer,0.0,0.0,91.0,0.0,91.0,is and increasing improves,0.0,35.0,118.0,35.0,118.0,"['The', 'capacity', 'essential', 'the', 'success', 'shot', 'task', 'transfer']","['is', 'increasing', 'improves']",,,,,,,,,,essential,is essential,['The capacity of the language model'],['.'],0,35,48,35,48,,,,,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,3,The capacity of the language model is essential to the success of zero-shot task transfer and increasing it improves performance in a log-linear fashion across tasks.,"['The', 'capacity', 'of', 'the', 'language', 'model', 'is', 'essential', 'to', 'the', 'success', 'of', 'zero-shot', 'task', 'transfer', 'and', 'increasing', 'it', 'improves', 'performance', 'in', 'a', 'log-linear', 'fashion', 'across', 'tasks.']",,,
4,,"Our largest model , GPT-2 ,",is a 1.5B parameter Transformer that achieves state of the art results on 7 out of 8 tested language modeling datasets in a zero - shot setting but still underfits WebText .,S,"['NP', 'VP', '.']",largest model GPT-2,1.0,4.0,25.0,4.0,25.0,is,2.0,28.0,30.0,0.0,2.0,"['largest', 'model', 'GPT-2']",['is'],is,"['Our largest model , GPT-2 ,']",['a 1.5B parameter Transformer'],1.0,2.0,28.0,31.0,0.0,3.0,state,state,"['Our largest model , GPT-2 , is a 1.5B parameter Transformer that achieves']",[],2,74,80,46,52,is,is,"['NOUN', 'AUX', 'DET']","['model', 'is', 'that']",https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,4,"Our largest model, GPT-2, is a 1.5B parameter Transformer that achieves state of the art results on 7 out of 8 tested language modeling datasets in a zero-shot setting but still underfits WebText.","['Our', 'largest', 'model', ',', 'GPT-2', ',', 'is', 'a', '1.5B', 'parameter', 'Transformer', 'that', 'achieves', 'state', 'of', 'the', 'art', 'results', 'on', '7', 'out', 'of', '8', 'tested', 'language', 'modeling', 'datasets', 'in', 'a', 'zero', '-', 'shot', 'setting', 'but', 'still', 'underfits', 'WebText', '.']","(0, 6)","(0, 27)",20.0
5,Samples from,the model,reflect these improvements and contain coherent paragraphs of text .,S,"['NP', 'VP', '.']",Samples,0.0,0.0,7.0,0.0,7.0,reflect and contain,2.0,23.0,61.0,0.0,38.0,['Samples'],"['reflect', 'contain']",reflect,"['Samples from the model', 'these improvements and contain coherent paragraphs of text']",[],1.0,2.0,23.0,31.0,0.0,8.0,reflect,reflect,"['Samples from the model', 'these improvements and contain coherent paragraphs of text']",[],2,23,31,0,8,reflect,reflect,"['NOUN', 'ADP', 'NOUN']","['model', 'from', 'Samples']",https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,5,Samples from the model reflect these improvements and contain coherent paragraphs of text.,"['Samples', 'from', 'the', 'model', 'reflect', 'these', 'improvements', 'and', 'contain', 'coherent', 'paragraphs', 'of', 'text', '.']","(2, 4)","(12, 21)",-1.0
6,These findings suggest a promising path towards building language processing systems which learn to perform tasks from their naturally occurring demonstrations.,,,S,"['NP', 'VP', '.']",These findings,0.0,0.0,14.0,0.0,14.0,suggest,0.0,15.0,22.0,15.0,22.0,"['These', 'findings']",['suggest'],,,,,,,,,,suggest,suggest,"['These', 'findings', 'a promising path towards building language processing systems which learn to perform tasks from their naturally occurring demonstrations']",['.'],0,15,23,15,23,,,,,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Abstract,6,These findings suggest a promising path towards building language processing systems which learn to perform tasks from their naturally occurring demonstrations.,"['These', 'findings', 'suggest', 'a', 'promising', 'path', 'towards', 'building', 'language', 'processing', 'systems', 'which', 'learn', 'to', 'perform', 'tasks', 'from', 'their', 'naturally', 'occurring', 'demonstrations.']",,,
7,Language Models are Unsupervised Multitask Learners.,,,S,"['NP', 'VP', '.']",Language Models,0.0,0.0,15.0,0.0,15.0,are,0.0,16.0,19.0,16.0,19.0,"['Language', 'Models']",['are'],,,,,,,,,,Unsupervised,are Unsupervised,['Language Models'],"['Multitask', 'Learners']",0,16,33,16,33,,,,,https://www.semanticscholar.org/paper/Language-Models-are-Unsupervised-Multitask-Learners-Radford-Wu/9405cc0d6169988371b2755e573cc28650d14dfe?year%5B0%5D=2020&year%5B1%5D=2020&citingPapersSort=relevance&citationIntent=all,0,Title,0,Language Models are Unsupervised Multitask Learners.,"['Language', 'Models', 'are', 'Unsupervised', 'Multitask', 'Learners.']",,,
8,Contextualized representations trained over large raw text data have given remarkable improvements for NLP tasks including question answering and reading comprehension.,,,S,"['NP', 'VP', '.']",representations,0.0,15.0,30.0,15.0,30.0,have given,0.0,64.0,74.0,64.0,74.0,['representations'],"['have', 'given']",,,,,,,,,,have,have,"['Contextualized', 'representations trained over large raw text data']",['given remarkable improvements for NLP tasks including question answering and reading comprehension'],0,64,69,64,69,,,,,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,0,Contextualized representations trained over large raw text data have given remarkable improvements for NLP tasks including question answering and reading comprehension.,"['Contextualized', 'representations', 'trained', 'over', 'large', 'raw', 'text', 'data', 'have', 'given', 'remarkable', 'improvements', 'for', 'NLP', 'tasks', 'including', 'question', 'answering', 'and', 'reading', 'comprehension.']",,,
9,"There have been works showing that syntactic, semantic and word sense knowledge are contained in such representations, which explains why they benefit such tasks.",,,S,"['NP', 'VP', '.']",,,,,,,have been,0.0,6.0,15.0,6.0,15.0,[],"['have', 'been']",,,,,,,,,,works,have been works,[],[],0,6,22,6,22,,,,,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,1,"There have been works showing that syntactic, semantic and word sense knowledge are contained in such representations, which explains why they benefit such tasks.","['There', 'have', 'been', 'works', 'showing', 'that', 'syntactic,', 'semantic', 'and', 'word', 'sense', 'knowledge', 'are', 'contained', 'in', 'such', 'representations,', 'which', 'explains', 'why', 'they', 'benefit', 'such', 'tasks.']",,,
10,"However, relatively little work has been done investigating commonsense knowledge contained in contextualized representations, which is crucial for human question answering and reading comprehension.",,,S,"['ADVP', ',', 'NP', 'VP', '.']",work,0.0,28.0,32.0,28.0,32.0,has been done,0.0,33.0,46.0,33.0,46.0,['work'],"['has', 'been', 'done', 'investigating']",,,,,,,,,,done,has been done,['However'],"[', relatively little work investigating commonsense knowledge contained in contextualized representations , which is crucial for human question answering and reading comprehension .']",0,33,47,33,47,,,,,https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,2,"However, relatively little work has been done investigating commonsense knowledge contained in contextualized representations, which is crucial for human question answering and reading comprehension.","['However,', 'relatively', 'little', 'work', 'has', 'been', 'done', 'investigating', 'commonsense', 'knowledge', 'contained', 'in', 'contextualized', 'representations,', 'which', 'is', 'crucial', 'for', 'human', 'question', 'answering', 'and', 'reading', 'comprehension.']",,,
11,We study the commonsense ability of,"GPT , BERT , XLNet , and RoBERTa","by testing them on seven challenging benchmarks , finding that language modeling and its variants are effective objectives for promoting models ' commonsense ability while bi - directional context and larger training set are bonuses .",S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,study,0.0,3.0,8.0,3.0,8.0,['We'],"['study', 'testing', 'finding']",study,['We'],"[""the commonsense ability of GPT , BERT , XLNet , and RoBERTa by testing them on seven challenging benchmarks , finding that language modeling and its variants are effective objectives for promoting models ' commonsense ability while bi - directional context and larger training set are bonuses .""]",-1.0,0.0,3.0,9.0,3.0,9.0,study,study,['We'],"[""the commonsense ability of GPT , BERT , XLNet , and RoBERTa by testing them on seven challenging benchmarks , finding that language modeling and its variants are effective objectives for promoting models ' commonsense ability while bi - directional context and larger training set are bonuses .""]",0,3,9,3,9,testing,by,"['ADP', 'NOUN', 'NOUN']","['of', 'commonsense', 'ability']",https://www.semanticscholar.org/paper/Evaluating-Commonsense-in-Pre-trained-Language-Zhou-Zhang/01f2b214962997260020279bd1fd1f8f372249d4,1,Abstract,3,"We study the commonsense ability of GPT, BERT, XLNet, and RoBERTa by testing them on seven challenging benchmarks, finding that language modeling and its variants are effective objectives for promoting models' commonsense ability while bi-directional context and larger training set are bonuses.","['We', 'study', 'the', 'commonsense', 'ability', 'of', 'GPT', ',', 'BERT', ',', 'XLNet', ',', 'and', 'RoBERTa', 'by', 'testing', 'them', 'on', 'seven', 'challenging', 'benchmarks', ',', 'finding', 'that', 'language', 'modeling', 'and', 'its', 'variants', 'are', 'effective', 'objectives', 'for', 'promoting', 'models', ""'"", 'commonsense', 'ability', 'while', 'bi', '-', 'directional', 'context', 'and', 'larger', 'training', 'set', 'are', 'bonuses', '.']","(6, 14)","(35, 67)",0.0
