,URL,ID,Type,Index,Text,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,group,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14
0,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,0,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).",,Transfer learning,", where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task , has emerged as a powerful technique in natural language processing ( NLP ) .","['Transfer', 'learning', ',', 'where', 'a', 'model', 'is', 'first', 'pre-trained', 'on', 'a', 'data-rich', 'task', 'before', 'being', 'fine-tuned', 'on', 'a', 'downstream', 'task', ',', 'has', 'emerged', 'as', 'a', 'powerful', 'technique', 'in', 'natural', 'language', 'processing', '(', 'NLP', ')', '.']","(0, 2)","(0, 17)",0,Transfer learning,1,0,17,0,17,has emerged,2,128,139,110,121,"['Transfer', 'learning']","['has', 'emerged']"
1,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,0,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).",,Transfer,"learning , where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task , has emerged as a powerful technique in natural language processing ( NLP ) .","['Transfer', 'learning', ',', 'where', 'a', 'model', 'is', 'first', 'pre-trained', 'on', 'a', 'data-rich', 'task', 'before', 'being', 'fine-tuned', 'on', 'a', 'downstream', 'task', ',', 'has', 'emerged', 'as', 'a', 'powerful', 'technique', 'in', 'natural', 'language', 'processing', '(', 'NLP', ')', '.']","(0, 1)","(0, 8)",0,Transfer learning,1,0,17,0,17,has emerged,2,128,139,119,130,"['Transfer', 'learning']","['has', 'emerged']"
2,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,1,"The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice.",The effectiveness of,transfer learning,"has given rise to a diversity of approaches , methodology , and practice .","['The', 'effectiveness', 'of', 'transfer', 'learning', 'has', 'given', 'rise', 'to', 'a', 'diversity', 'of', 'approaches', ',', 'methodology', ',', 'and', 'practice', '.']","(3, 5)","(20, 37)",0,The effectiveness,0,0,17,0,17,has given,2,39,48,0,9,"['The', 'effectiveness']","['has', 'given']"
3,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,1,"The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice.",The effectiveness of,transfer,"learning has given rise to a diversity of approaches , methodology , and practice .","['The', 'effectiveness', 'of', 'transfer', 'learning', 'has', 'given', 'rise', 'to', 'a', 'diversity', 'of', 'approaches', ',', 'methodology', ',', 'and', 'practice', '.']","(3, 4)","(20, 28)",0,The effectiveness,0,0,17,0,17,has given,2,39,48,9,18,"['The', 'effectiveness']","['has', 'given']"
4,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,2,"In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.","In this paper , we explore the landscape of",transfer learning,techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format .,"['In', 'this', 'paper', ',', 'we', 'explore', 'the', 'landscape', 'of', 'transfer', 'learning', 'techniques', 'for', 'NLP', 'by', 'introducing', 'a', 'unified', 'framework', 'that', 'converts', 'every', 'language', 'problem', 'into', 'a', 'text-to-text', 'format', '.']","(9, 11)","(43, 60)",0,we,0,16,18,16,18,explore,0,19,26,19,26,['we'],['explore']
5,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,2,"In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.","In this paper , we explore the landscape of",transfer,learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format .,"['In', 'this', 'paper', ',', 'we', 'explore', 'the', 'landscape', 'of', 'transfer', 'learning', 'techniques', 'for', 'NLP', 'by', 'introducing', 'a', 'unified', 'framework', 'that', 'converts', 'every', 'language', 'problem', 'into', 'a', 'text-to-text', 'format', '.']","(9, 10)","(43, 51)",0,we,0,16,18,16,18,explore,0,19,26,19,26,['we'],['explore']
6,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,3,"Our systematic study compares pre-training objectives, architectures, unlabeled datasets, transfer approaches, and other factors on dozens of language understanding tasks.","Our systematic study compares pre-training objectives , architectures , unlabeled datasets ,",transfer,"approaches , and other factors on dozens of language understanding tasks .","['Our', 'systematic', 'study', 'compares', 'pre-training', 'objectives', ',', 'architectures', ',', 'unlabeled', 'datasets', ',', 'transfer', 'approaches', ',', 'and', 'other', 'factors', 'on', 'dozens', 'of', 'language', 'understanding', 'tasks', '.']","(12, 13)","(92, 100)",0,systematic study,0,4,20,4,20,compares,0,21,29,21,29,"['systematic', 'study']",['compares']
7,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,4,"By combining the insights from our exploration with scale and our new ""Colossal Clean Crawled Corpus"", we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more.","By combining the insights from our exploration with scale and our new ""Colossal Clean Crawled Corpus"", we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more.",,,"['By', 'combining', 'the', 'insights', 'from', 'our', 'exploration', 'with', 'scale', 'and', 'our', 'new', '""Colossal', 'Clean', 'Crawled', 'Corpus"",', 'we', 'achieve', 'state-of-the-art', 'results', 'on', 'many', 'benchmarks', 'covering', 'summarization,', 'question', 'answering,', 'text', 'classification,', 'and', 'more.']",,,,we,0,106,108,106,108,achieve,0,109,116,109,116,['we'],['achieve']
8,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,5,"To facilitate future work on transfer learning for NLP, we release our dataset, pre-trained models, and code.",To facilitate future work on,transfer learning,"for NLP , we release our dataset , pre-trained models , and code .","['To', 'facilitate', 'future', 'work', 'on', 'transfer', 'learning', 'for', 'NLP', ',', 'we', 'release', 'our', 'dataset', ',', 'pre-trained', 'models', ',', 'and', 'code', '.']","(5, 7)","(28, 45)",0,we,2,57,59,10,12,release,2,60,67,13,20,['we'],"['facilitate', 'release']"
9,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,5,"To facilitate future work on transfer learning for NLP, we release our dataset, pre-trained models, and code.",To facilitate future work on,transfer,"learning for NLP , we release our dataset , pre-trained models , and code .","['To', 'facilitate', 'future', 'work', 'on', 'transfer', 'learning', 'for', 'NLP', ',', 'we', 'release', 'our', 'dataset', ',', 'pre-trained', 'models', ',', 'and', 'code', '.']","(5, 6)","(28, 36)",0,we,2,57,59,19,21,release,2,60,67,22,29,['we'],"['facilitate', 'release']"
