,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_subj_allspans,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_verb_allspans,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index
0,,Transfer learning,", where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task , has emerged as a powerful technique in natural language processing ( NLP ) .",S,"['NP', 'VP', '.']",Transfer learning,1.0,0.0,17.0,0.0,17.0,"[(0, 8), (9, 17)]",has emerged,2.0,128.0,139.0,110.0,121.0,"[(128, 131), (132, 139)]","['Transfer', 'learning']","['has', 'emerged']",,,,,,,,,,first,first,"['Transfer learning , where a model', 'is']","['pre -', 'trained on a data - rich task before being fine - tuned on a downstream task', ', has emerged as a powerful technique in natural language processing ( NLP ) .']",2,37,43,19,25,is,where,"['NOUN', 'ADV']","['learning', 'first']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,0,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).","['Transfer', 'learning', ',', 'where', 'a', 'model', 'is', 'first', 'pre-trained', 'on', 'a', 'data-rich', 'task', 'before', 'being', 'fine-tuned', 'on', 'a', 'downstream', 'task', ',', 'has', 'emerged', 'as', 'a', 'powerful', 'technique', 'in', 'natural', 'language', 'processing', '(', 'NLP', ')', '.']","(0, 2)","(0, 17)",0.0
1,,Transfer,"learning , where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task , has emerged as a powerful technique in natural language processing ( NLP ) .",S,"['NP', 'VP', '.']",Transfer learning,1.0,0.0,17.0,0.0,17.0,"[(0, 8), (9, 17)]",has emerged,2.0,128.0,139.0,119.0,130.0,"[(128, 131), (132, 139)]","['Transfer', 'learning']","['has', 'emerged']",,,,,,,,,,first,first,"['Transfer learning , where a model', 'is']","['pre -', 'trained on a data - rich task before being fine - tuned on a downstream task', ', has emerged as a powerful technique in natural language processing ( NLP ) .']",2,37,43,28,34,is,learning,"['NOUN', 'NOUN', 'ADV']","['Transfer', 'learning', 'first']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,0,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).","['Transfer', 'learning', ',', 'where', 'a', 'model', 'is', 'first', 'pre-trained', 'on', 'a', 'data-rich', 'task', 'before', 'being', 'fine-tuned', 'on', 'a', 'downstream', 'task', ',', 'has', 'emerged', 'as', 'a', 'powerful', 'technique', 'in', 'natural', 'language', 'processing', '(', 'NLP', ')', '.']","(0, 1)","(0, 8)",0.0
2,The effectiveness of,transfer learning,"has given rise to a diversity of approaches , methodology , and practice .",S,"['NP', 'VP', '.']",The effectiveness,0.0,0.0,17.0,0.0,17.0,"[(0, 3), (4, 17)]",has given,2.0,39.0,48.0,0.0,9.0,"[(39, 42), (43, 48)]","['The', 'effectiveness']","['has', 'given']",has given,[],"['The effectiveness of transfer learning rise to a diversity of approaches , methodology , and practice .']",1.0,2.0,39.0,49.0,0.0,10.0,given,has given,[],"['The effectiveness of transfer learning rise to a diversity of approaches , methodology , and practice .']",2,39,49,0,10,has,has,"['ADP', 'NOUN', 'NOUN']","['of', 'effectiveness', 'rise']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,1,"The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice.","['The', 'effectiveness', 'of', 'transfer', 'learning', 'has', 'given', 'rise', 'to', 'a', 'diversity', 'of', 'approaches', ',', 'methodology', ',', 'and', 'practice', '.']","(3, 5)","(20, 37)",0.0
3,The effectiveness of,transfer,"learning has given rise to a diversity of approaches , methodology , and practice .",S,"['NP', 'VP', '.']",The effectiveness,0.0,0.0,17.0,0.0,17.0,"[(0, 3), (4, 17)]",has given,2.0,39.0,48.0,9.0,18.0,"[(39, 42), (43, 48)]","['The', 'effectiveness']","['has', 'given']",has given,[],"['The effectiveness of transfer learning rise to a diversity of approaches , methodology , and practice .']",1.0,2.0,39.0,49.0,9.0,19.0,given,has given,[],"['The effectiveness of transfer learning rise to a diversity of approaches , methodology , and practice .']",2,39,49,9,19,has,learning,"['NOUN', 'ADP', 'NOUN']","['transfer', 'of', 'effectiveness']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,1,"The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice.","['The', 'effectiveness', 'of', 'transfer', 'learning', 'has', 'given', 'rise', 'to', 'a', 'diversity', 'of', 'approaches', ',', 'methodology', ',', 'and', 'practice', '.']","(3, 4)","(20, 28)",0.0
4,"In this paper , we explore the landscape of",transfer learning,techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format .,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,16.0,18.0,16.0,18.0,"[(16, 18)]",explore,0.0,19.0,26.0,19.0,26.0,"[(19, 26)]",['we'],['explore'],explore,"[',']",['the landscape of transfer learning techniques for NLP'],-1.0,0.0,19.0,27.0,19.0,27.0,explore,explore,"[',']",['the landscape of transfer learning techniques for NLP'],0,19,27,19,27,introducing,techniques,"['ADP', 'NOUN', 'VERB']","['of', 'landscape', 'explore']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,2,"In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.","['In', 'this', 'paper', ',', 'we', 'explore', 'the', 'landscape', 'of', 'transfer', 'learning', 'techniques', 'for', 'NLP', 'by', 'introducing', 'a', 'unified', 'framework', 'that', 'converts', 'every', 'language', 'problem', 'into', 'a', 'text-to-text', 'format', '.']","(9, 11)","(43, 60)",0.0
5,"In this paper , we explore the landscape of",transfer,learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format .,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,16.0,18.0,16.0,18.0,"[(16, 18)]",explore,0.0,19.0,26.0,19.0,26.0,"[(19, 26)]",['we'],['explore'],explore,"[',']",['the landscape of transfer learning techniques for NLP'],-1.0,0.0,19.0,27.0,19.0,27.0,explore,explore,"[',']",['the landscape of transfer learning techniques for NLP'],0,19,27,19,27,learning,learning,"['NOUN', 'ADP', 'NOUN']","['transfer', 'of', 'landscape']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,2,"In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.","['In', 'this', 'paper', ',', 'we', 'explore', 'the', 'landscape', 'of', 'transfer', 'learning', 'techniques', 'for', 'NLP', 'by', 'introducing', 'a', 'unified', 'framework', 'that', 'converts', 'every', 'language', 'problem', 'into', 'a', 'text-to-text', 'format', '.']","(9, 10)","(43, 51)",0.0
6,"Our systematic study compares pre-training objectives , architectures , unlabeled datasets ,",transfer,"approaches , and other factors on dozens of language understanding tasks .",S,"['NP', 'VP', '.']",systematic study,0.0,4.0,20.0,4.0,20.0,"[(4, 14), (15, 20)]",compares,0.0,21.0,29.0,21.0,29.0,"[(21, 29)]","['systematic', 'study']",['compares'],compares,"['Our', 'systematic study']","['pre - training objectives , architectures , unlabeled datasets , transfer approaches , and other factors on dozens of language understanding tasks .']",-1.0,0.0,21.0,30.0,21.0,30.0,compares,compares,"['Our', 'systematic study']","['pre - training objectives , architectures , unlabeled datasets , transfer approaches , and other factors on dozens of language understanding tasks .']",0,21,30,21,30,,approaches,"['NOUN', 'NOUN', 'NOUN']","['transfer', 'datasets', 'architectures']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,3,"Our systematic study compares pre-training objectives, architectures, unlabeled datasets, transfer approaches, and other factors on dozens of language understanding tasks.","['Our', 'systematic', 'study', 'compares', 'pre-training', 'objectives', ',', 'architectures', ',', 'unlabeled', 'datasets', ',', 'transfer', 'approaches', ',', 'and', 'other', 'factors', 'on', 'dozens', 'of', 'language', 'understanding', 'tasks', '.']","(12, 13)","(92, 100)",0.0
7,"By combining the insights from our exploration with scale and our new ""Colossal Clean Crawled Corpus"", we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more.",,,S,"['PP', ',', 'NP', 'VP', '.']",we,0.0,106.0,108.0,106.0,108.0,"[(106, 108)]",achieve,0.0,109.0,116.0,109.0,116.0,"[(109, 116)]",['we'],['achieve'],,,,,,,,,,question,question,"['By combining the insights from our exploration with scale and our new "" Colossal Clean Crawled Corpus "" , we achieve state - of - the - art results on many benchmarks covering summarization', ',']","['answering , text classification , and more .']",0,192,201,192,201,,,,,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,4,"By combining the insights from our exploration with scale and our new ""Colossal Clean Crawled Corpus"", we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more.","['By', 'combining', 'the', 'insights', 'from', 'our', 'exploration', 'with', 'scale', 'and', 'our', 'new', '""Colossal', 'Clean', 'Crawled', 'Corpus"",', 'we', 'achieve', 'state-of-the-art', 'results', 'on', 'many', 'benchmarks', 'covering', 'summarization,', 'question', 'answering,', 'text', 'classification,', 'and', 'more.']",,,
8,To facilitate future work on,transfer learning,"for NLP , we release our dataset , pre-trained models , and code .",S,"['S', ',', 'NP', 'VP', '.']",we,2.0,57.0,59.0,10.0,12.0,"[(57, 59)]",release,2.0,60.0,67.0,13.0,20.0,"[(60, 67)]",['we'],"['facilitate', 'release']",facilitate,[],"['future', 'work on transfer learning for NLP']",-1.0,0.0,3.0,14.0,3.0,14.0,release,release,"['To', 'we', 'facilitate future work on transfer learning for NLP', ',']","['our dataset , pre - trained models , and code', '.']",2,60,68,13,21,release,for,"['NOUN', 'ADP', 'NOUN']","['transfer', 'on', 'work']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,5,"To facilitate future work on transfer learning for NLP, we release our dataset, pre-trained models, and code.","['To', 'facilitate', 'future', 'work', 'on', 'transfer', 'learning', 'for', 'NLP', ',', 'we', 'release', 'our', 'dataset', ',', 'pre-trained', 'models', ',', 'and', 'code', '.']","(5, 7)","(28, 45)",0.0
9,To facilitate future work on,transfer,"learning for NLP , we release our dataset , pre-trained models , and code .",S,"['S', ',', 'NP', 'VP', '.']",we,2.0,57.0,59.0,19.0,21.0,"[(57, 59)]",release,2.0,60.0,67.0,22.0,29.0,"[(60, 67)]",['we'],"['facilitate', 'release']",facilitate,[],"['future', 'work on transfer learning for NLP']",-1.0,0.0,3.0,14.0,3.0,14.0,release,release,"['To', 'we', 'facilitate future work on transfer learning for NLP', ',']","['our dataset , pre - trained models , and code', '.']",2,60,68,22,30,release,learning,"['NOUN', 'ADP', 'NOUN']","['transfer', 'on', 'work']",https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,5,"To facilitate future work on transfer learning for NLP, we release our dataset, pre-trained models, and code.","['To', 'facilitate', 'future', 'work', 'on', 'transfer', 'learning', 'for', 'NLP', ',', 'we', 'release', 'our', 'dataset', ',', 'pre-trained', 'models', ',', 'and', 'code', '.']","(5, 6)","(28, 36)",0.0
