,URL,ID,Type,Index,Text,split_0,split_1,split_2,split_tokens,split_anchor_span,group,group2
0,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,0,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).",,"Transfer learning,","where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).","['Transfer', 'learning,', 'where', 'a', 'model', 'is', 'first', 'pre-trained', 'on', 'a', 'data-rich', 'task', 'before', 'being', 'fine-tuned', 'on', 'a', 'downstream', 'task,', 'has', 'emerged', 'as', 'a', 'powerful', 'technique', 'in', 'natural', 'language', 'processing', '(NLP).']","(0, 2)","['NOUN', 'ADV']","['learning', 'first']"
1,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,0,"Transfer learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).",,Transfer,"learning, where a model is first pre-trained on a data-rich task before being fine-tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).","['Transfer', 'learning,', 'where', 'a', 'model', 'is', 'first', 'pre-trained', 'on', 'a', 'data-rich', 'task', 'before', 'being', 'fine-tuned', 'on', 'a', 'downstream', 'task,', 'has', 'emerged', 'as', 'a', 'powerful', 'technique', 'in', 'natural', 'language', 'processing', '(NLP).']","(0, 1)","['NOUN', 'NOUN', 'ADV']","['Transfer', 'learning', 'first']"
2,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,1,"The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice.",The effectiveness of,transfer learning,"has given rise to a diversity of approaches, methodology, and practice.","['The', 'effectiveness', 'of', 'transfer', 'learning', 'has', 'given', 'rise', 'to', 'a', 'diversity', 'of', 'approaches,', 'methodology,', 'and', 'practice.']","(3, 5)","['ADP', 'NOUN', 'NOUN']","['of', 'effectiveness', 'rise']"
3,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,1,"The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice.",The effectiveness of,transfer,"learning has given rise to a diversity of approaches, methodology, and practice.","['The', 'effectiveness', 'of', 'transfer', 'learning', 'has', 'given', 'rise', 'to', 'a', 'diversity', 'of', 'approaches,', 'methodology,', 'and', 'practice.']","(3, 4)","['NOUN', 'ADP', 'NOUN']","['transfer', 'of', 'effectiveness']"
4,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,2,"In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.","In this paper, we explore the landscape of",transfer learning,techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.,"['In', 'this', 'paper,', 'we', 'explore', 'the', 'landscape', 'of', 'transfer', 'learning', 'techniques', 'for', 'NLP', 'by', 'introducing', 'a', 'unified', 'framework', 'that', 'converts', 'every', 'language', 'problem', 'into', 'a', 'text-to-text', 'format.']","(8, 10)","['ADP', 'NOUN', 'VERB']","['of', 'landscape', 'explore']"
5,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,2,"In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.","In this paper, we explore the landscape of",transfer,learning techniques for NLP by introducing a unified framework that converts every language problem into a text-to-text format.,"['In', 'this', 'paper,', 'we', 'explore', 'the', 'landscape', 'of', 'transfer', 'learning', 'techniques', 'for', 'NLP', 'by', 'introducing', 'a', 'unified', 'framework', 'that', 'converts', 'every', 'language', 'problem', 'into', 'a', 'text-to-text', 'format.']","(8, 9)","['NOUN', 'ADP', 'NOUN']","['transfer', 'of', 'landscape']"
6,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,3,"Our systematic study compares pre-training objectives, architectures, unlabeled datasets, transfer approaches, and other factors on dozens of language understanding tasks.","Our systematic study compares pre-training objectives, architectures, unlabeled datasets,",transfer,"approaches, and other factors on dozens of language understanding tasks.","['Our', 'systematic', 'study', 'compares', 'pre-training', 'objectives,', 'architectures,', 'unlabeled', 'datasets,', 'transfer', 'approaches,', 'and', 'other', 'factors', 'on', 'dozens', 'of', 'language', 'understanding', 'tasks.']","(9, 10)","['NOUN', 'NOUN', 'NOUN']","['transfer', 'datasets', 'architectures']"
7,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,4,"By combining the insights from our exploration with scale and our new ""Colossal Clean Crawled Corpus"", we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more.","By combining the insights from our exploration with scale and our new ""Colossal Clean Crawled Corpus"", we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more.",,,"['By', 'combining', 'the', 'insights', 'from', 'our', 'exploration', 'with', 'scale', 'and', 'our', 'new', '""Colossal', 'Clean', 'Crawled', 'Corpus"",', 'we', 'achieve', 'state-of-the-art', 'results', 'on', 'many', 'benchmarks', 'covering', 'summarization,', 'question', 'answering,', 'text', 'classification,', 'and', 'more.']",,,
8,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,5,"To facilitate future work on transfer learning for NLP, we release our dataset, pre-trained models, and code.",To facilitate future work on,transfer learning,"for NLP, we release our dataset, pre-trained models, and code.","['To', 'facilitate', 'future', 'work', 'on', 'transfer', 'learning', 'for', 'NLP,', 'we', 'release', 'our', 'dataset,', 'pre-trained', 'models,', 'and', 'code.']","(5, 7)","['NOUN', 'ADP', 'NOUN']","['transfer', 'on', 'work']"
9,https://www.semanticscholar.org/paper/Exploring-the-Limits-of-Transfer-Learning-with-a-Raffel-Shazeer/c7be76475b98ca7ab9ce182c4b57e16ca9e2976b,0,Abstract,5,"To facilitate future work on transfer learning for NLP, we release our dataset, pre-trained models, and code.",To facilitate future work on,transfer,"learning for NLP, we release our dataset, pre-trained models, and code.","['To', 'facilitate', 'future', 'work', 'on', 'transfer', 'learning', 'for', 'NLP,', 'we', 'release', 'our', 'dataset,', 'pre-trained', 'models,', 'and', 'code.']","(5, 6)","['NOUN', 'ADP', 'NOUN']","['transfer', 'on', 'work']"
