,text_split_0,text_split_1,text_split_2,group
0,,BERT:,Pre-training of Deep Bidirectional Transformers for Language Understanding,BERT
1,We introduce a new language representation model called,"BERT,",which stands for Bidirectional Encoder Representations from Transformers. ,stands
2,"Unlike recent language representation models,",BERT,is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. ,designed
3,"As a result, the pre-trained",BERT,"model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications.",architecture
4,,BERT,is conceptually simple and empirically powerful. ,conceptually
5,"It obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1 (5.1 point absolute improvement)",,,point
6,,RoBERTa:,A Robustly Optimized BERT Pretraining Approach,RoBERTa
7,Language model pretraining has led to significant performance gains but careful comparison between different approaches is challenging. ,,,led
8,"Training is computationally expensive, often done on private datasets of different sizes, and, as we will show, hyperparameter choices have significant impact on the final results. ",,,is
9,We present a replication study of,BERT,"pretraining (Devlin et al., 2019) that carefully measures the impact of many key hyperparameters and training data size. ",measures
10,We find that,BERT,"was significantly undertrained, and can match or exceed the performance of every model published after it. ",We
11,"Our best model achieves state-of-the-art results on GLUE, RACE and SQuAD. ",,,of
12,"These results highlight the importance of previously overlooked design choices, and raise questions about the source of recently reported improvements. ",,,These
13,We release our models and code.,,,release
14,,"DistilBERT,","a distilled version of BERT: smaller, faster, cheaper and lighter",DistilBERT
15,"As Transfer Learning from large-scale pre-trained models becomes more prevalent in Natural Language Processing (NLP), operating these large models in on-the-edge and/or under constrained computational training or inference budgets remains challenging. ",,,prevalent
16,"In this work, we propose a method to pre-train a smaller general-purpose language representation model, called","DistilBERT,",which can then be fine-tuned with good performances on a wide range of tasks like its larger counterparts. ,propose
17,"While most prior work investigated the use of distillation for building task-specific models, we leverage knowledge distillation during the pre-training phase and show that it is possible to reduce the size of a",BERT,"model by 40%, while retaining 97% of its language understanding capabilities and being 60% faster. ",show
18,"To leverage the inductive biases learned by larger models during pre-training, we introduce a triple loss combining language modeling, distillation and cosine-distance losses. ",,,introduce
19,"Our smaller, faster and lighter model is cheaper to pre-train and we demonstrate its capabilities for on-device computations in a proof-of-concept experiment and a comparative on-device study.",,,cheaper
20,,BERT,Rediscovers the Classical NLP Pipeline,Rediscovers
21,Pre-trained text encoders have rapidly advanced the state of the art on many NLP tasks. ,,,advanced
22,"We focus on one such model,","BERT,",and aim to quantify where linguistic information is captured within the network. ,captured
23,"We find that the model represents the steps of the traditional NLP pipeline in an interpretable and localizable way, and that the regions responsible for each step appear in the expected sequence: POS tagging, parsing, NER, semantic roles, then coreference. ",,,roles
24,"Qualitative analysis reveals that the model can and often does adjust this pipeline dynamically, revising lower-level decisions on the basis of disambiguating information from higher-level representations.",,,analysis
25,What Does,BERT,Look At? An Analysis of BERT's Attention,BERT
26,Large pre-trained neural networks such as,BERT,"have had great recent success in NLP, motivating a growing body of research investigating what aspects of language they are able to learn from unlabeled data. ",success
27,"Most recent analysis has focused on model outputs (e.g., language model surprisal) or internal vector representations (e.g., probing classifiers). ",,,outputs
28,"Complementary to these works, we propose methods for analyzing the attention mechanisms of pre-trained models and apply them to",BERT.,,propose
29,,BERT's,"attention heads exhibit patterns such as attending to delimiter tokens, specific positional offsets, or broadly attending over the whole sentence, with heads in the same layer often exhibiting similar behaviors. ",BERT
30,We further show that certain attention heads correspond well to linguistic notions of syntax and coreference. ,,,show
31,"For example, we find heads that attend to the direct objects of verbs, determiners of nouns, objects of prepositions, and coreferent mentions with remarkably high accuracy. ",,,find
32,"Lastly, we propose an attention-based probing classifier and use it to further demonstrate that substantial syntactic information is captured in",BERT's,attention.,Lastly
33,Passage Re-ranking with,BERT,,Re
34,"Recently, neural models pretrained on a language modeling task, such as ELMo (Peters et al., 2017), OpenAI GPT (Radford et al., 2018), and",BERT,"(Devlin et al., 2018), have achieved impressive results on various natural language processing tasks such as question-answering and natural language inference. ",Recently
35,"In this paper, we describe a simple re-implementation of",BERT,for query-based passage re-ranking. ,describe
36,"Our system is the state of the art on the TREC-CAR dataset and the top entry in the leaderboard of the MS MARCO passage retrieval task, outperforming the previous state of the art by 27% (relative) in MRR@10. ",,,task
37,The code to reproduce our results is available at this https URL,,,available
38,Assessing,BERT's,Syntactic Abilities,BERT
39,I assess the extent to which the recently introduced,BERT,"model captures English syntactic phenomena, using (1) naturally-occurring subject-verb agreement stimuli; (2) ""coloreless green ideas"" subject-verb agreement stimuli, in which content words in natural sentences are randomly replaced with words sharing the same part-of-speech and inflection; and (3) manually crafted stimuli for subject-verb agreement and reflexive anaphora phenomena. ",)
40,The,BERT,model performs remarkably well on all cases.,performs
41,"Beto, Bentz, Becas: The Surprising Cross-Lingual Effectiveness of",BERT,,Beto
42,"Pretrained contextual representation models (Peters et al., 2018; Devlin et al., 2018) have pushed forward the state-of-the-art on many NLP tasks. ",,,models
43,A new release of,BERT,"(Devlin, 2018) includes a model simultaneously pretrained on 104 languages with impressive performance for zero-shot cross-lingual transfer on a natural language inference task. ",includes
44,This paper explores the broader cross-lingual potential of,mBERT,"(multilingual) as a zero shot language transfer model on 5 NLP tasks covering a total of 39 languages from various language families: NLI, document classification, NER, POS tagging, and dependency parsing. ",NER
45,We compare,mBERT,with the best-published methods for zero-shot cross-lingual transfer and find mBERT competitive on each task. ,find
