,split_0,split_1,split_2,c_senttype,c_sentparts,c_subj_full,c_subj_split,c_subj_span0,c_subj_span1,c_subj_cspan0,c_subj_cspan1,c_verb_full,c_verb_split,c_verb_span0,c_verb_span1,c_verb_cspan0,c_verb_cspan1,c_subj_list,c_verb_list,d_averb,d_averb_s,d_averb_o,d_averb_relation,d_averb_split,d_averb_span0,d_averb_span1,d_averb_cspan0,d_averb_cspan1,d_root,d_root_full,d_root_s,d_root_o,d_root_split,d_root_span0,d_root_span1,d_root_cspan0,d_root_cspan1,fverb,fword,d_apos,d_apos_w,URL,ID,Type,Index,Text,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,order_cluster
0,We introduce,"a new language representation model called BERT , which stands for Bidirectional Encoder Representations from Transformers",.,S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,introduce,0.0,3.0,12.0,3.0,12.0,['We'],['introduce'],stands,"['which', 'We introduce a new language representation model called BERT ,']",[],0.0,1.0,69.0,76.0,56.0,63.0,stands,stands,"['which', 'We introduce a new language representation model called BERT ,']",[],1,69,76,56,63,,,['VERB'],['stands'],https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,0,"We introduce a new language representation model called BERT, which stands for Bidirectional Encoder Representations from Transformers.","['We', 'introduce', 'a', 'new', 'language', 'representation', 'model', 'called', 'BERT', ',', 'which', 'stands', 'for', 'Bidirectional', 'Encoder', 'Representations', 'from', 'Transformers', '.']","(2, 18)","(12, 134)",43.0,88.0
1,"Unlike recent language representation models ,",BERT,is designed to pre - train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers .,S,"['PP', ',', 'NP', 'VP', '.']",BERT,1.0,47.0,51.0,0.0,4.0,is designed,2.0,52.0,63.0,0.0,11.0,['BERT'],"['is', 'designed', 'pre', '-', 'train']",is designed,"['recent language representation models , BERT']",['pre - train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers .'],1.0,2.0,52.0,64.0,0.0,12.0,designed,is designed,"['recent language representation models , BERT']",['pre - train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers .'],2,52,64,0,12,is,is,"['PROPN', 'PUNCT', 'NOUN']","['BERT', ',', 'models']",https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,1,"Unlike recent language representation models, BERT is designed to pre-train deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers.","['Unlike', 'recent', 'language', 'representation', 'models', ',', 'BERT', 'is', 'designed', 'to', 'pre', '-', 'train', 'deep', 'bidirectional', 'representations', 'from', 'unlabeled', 'text', 'by', 'jointly', 'conditioning', 'on', 'both', 'left', 'and', 'right', 'context', 'in', 'all', 'layers', '.']","(6, 7)","(46, 50)",0.0,195.0
2,"As a result , the pre - trained",BERT,"model can be fine - tuned with just one additional output layer to create state - of - the - art models for a wide range of tasks , such as question answering and language inference , without substantial task - specific architecture modifications .",S,"['PP', ',', 'NP', 'VP', '.']",the pre - trained BERT model,0.0,14.0,42.0,14.0,42.0,can be tuned,2.0,43.0,62.0,6.0,25.0,"['the', 'pre', '-', 'trained', 'BERT', 'model']","['can', 'be', 'tuned']",,,,,,,,,,architecture,architecture,[],[],2,257,270,220,233,be,model,"['PROPN', 'NOUN', 'ADV']","['BERT', 'model', 'fine']",https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,2,"As a result, the pre-trained BERT model can be fine-tuned with just one additional output layer to create state-of-the-art models for a wide range of tasks, such as question answering and language inference, without substantial task-specific architecture modifications.","['As', 'a', 'result', ',', 'the', 'pre', '-', 'trained', 'BERT', 'model', 'can', 'be', 'fine', '-', 'tuned', 'with', 'just', 'one', 'additional', 'output', 'layer', 'to', 'create', 'state', '-', 'of', '-', 'the', '-', 'art', 'models', 'for', 'a', 'wide', 'range', 'of', 'tasks', ',', 'such', 'as', 'question', 'answering', 'and', 'language', 'inference', ',', 'without', 'substantial', 'task', '-', 'specific', 'architecture', 'modifications', '.']","(8, 9)","(31, 35)",0.0,184.0
3,,BERT,is conceptually simple and empirically powerful .,S,"['NP', 'VP', '.']",BERT,1.0,0.0,4.0,0.0,4.0,is,2.0,5.0,7.0,0.0,2.0,['BERT'],['is'],is,['BERT'],[],1.0,2.0,5.0,8.0,0.0,3.0,conceptually,is conceptually,[],"['simple empirically', 'powerful']",2,5,21,0,16,is,is,"['PROPN', 'AUX', 'ADV']","['BERT', 'is', 'conceptually']",https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,3,BERT is conceptually simple and empirically powerful.,"['BERT', 'is', 'conceptually', 'simple', 'and', 'empirically', 'powerful', '.']","(0, 1)","(0, 4)",0.0,196.0
4,,It,"obtains new state - of - the - art results on eleven natural language processing tasks , including pushing the GLUE score to 80.5 % ( 7.7 % point absolute improvement ) , MultiNLI accuracy to 86.7 % ( 4.6 % absolute improvement ) , SQuAD v1.1 question answering Test F1 to 93.2 ( 1.5 point absolute improvement ) and SQuAD v2.0 Test F1 to 83.1 ( 5.1 point absolute improvement )",S,"['NP', 'VP']",It,1.0,0.0,2.0,0.0,2.0,obtains,2.0,3.0,10.0,0.0,7.0,['It'],['obtains'],obtains,[],"['new state - - the -', 'of art', 'results on eleven natural language processing tasks , including pushing the GLUE score to 80.5 % ( 7.7 % point absolute improvement ) , MultiNLI accuracy to 86.7 % % absolute improvement']",1.0,2.0,3.0,11.0,0.0,8.0,point,point,"['It obtains new state - of - the - art results on eleven natural language processing tasks , including pushing the GLUE score to 80.5 % ( 7.7 % point absolute improvement ) , MultiNLI accuracy to 86.7 % ( 4.6 % absolute improvement ) , SQuAD v1.1 question answering Test 93.2 ( 1.5 and SQuAD v2.0 Test F1 to 83.1 ( 5.1']",[],2,353,359,350,356,obtains,obtains,"['PRON', 'VERB', 'NOUN']","['It', 'obtains', 'question']",https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Abstract,4,"It obtains new state-of-the-art results on eleven natural language processing tasks, including pushing the GLUE score to 80.5% (7.7% point absolute improvement), MultiNLI accuracy to 86.7% (4.6% absolute improvement), SQuAD v1.1 question answering Test F1 to 93.2 (1.5 point absolute improvement) and SQuAD v2.0 Test F1 to 83.1 (5.1 point absolute improvement)","['It', 'obtains', 'new', 'state', '-', 'of', '-', 'the', '-', 'art', 'results', 'on', 'eleven', 'natural', 'language', 'processing', 'tasks', ',', 'including', 'pushing', 'the', 'GLUE', 'score', 'to', '80.5', '%', '(', '7.7', '%', 'point', 'absolute', 'improvement', ')', ',', 'MultiNLI', 'accuracy', 'to', '86.7', '%', '(', '4.6', '%', 'absolute', 'improvement', ')', ',', 'SQuAD', 'v1.1', 'question', 'answering', 'Test', 'F1', 'to', '93.2', '(', '1.5', 'point', 'absolute', 'improvement', ')', 'and', 'SQuAD', 'v2.0', 'Test', 'F1', 'to', '83.1', '(', '5.1', 'point', 'absolute', 'improvement', ')']","(0, 1)","(0, 2)",-1.0,131.0
5,,BERT,: Pre-training of Deep Bidirectional Transformers for Language Understanding .,NP,"['NP', ':', 'NP', '.']",BERT Pre - training,1.0,0.0,21.0,0.0,21.0,,,,,,,"['BERT', 'Pre', '-', 'training']",[],,,,,,,,,,BERT,BERT,[],"[':', 'Pre - training of Deep Bidirectional Transformers for Language Understanding']",1,0,5,0,5,,Pre-training,['PROPN'],['BERT'],https://www.semanticscholar.org/paper/BERT%3A-Pre-training-of-Deep-Bidirectional-for-Devlin-Chang/df2b0e26d0599ce3e70df8a9da02e51594e0e992,0,Title,0,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding.,"['BERT', ':', 'Pre-training', 'of', 'Deep', 'Bidirectional', 'Transformers', 'for', 'Language', 'Understanding', '.']","(0, 1)","(0, 4)",0.0,185.0
6,Language model pretraining has led to significant performance gains but careful comparison between different approaches is challenging.,,,S,"['S', 'CC', 'S', '.']",,,,,,,but,0.0,68.0,71.0,68.0,71.0,"['Language', 'model', 'pretraining', 'careful', 'comparison']","['has', 'led', 'is']",,,,,,,,,,led,has led,['Language model pretraining'],[],0,27,35,27,35,,,,,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,0,Language model pretraining has led to significant performance gains but careful comparison between different approaches is challenging.,"['Language', 'model', 'pretraining', 'has', 'led', 'to', 'significant', 'performance', 'gains', 'but', 'careful', 'comparison', 'between', 'different', 'approaches', 'is', 'challenging.']",,,,
7,"Training is computationally expensive, often done on private datasets of different sizes, and, as we will show, hyperparameter choices have significant impact on the final results.",,,S,"['S', 'CC', ',', 'S', '.']",,,,,,,and,0.0,92.0,95.0,92.0,95.0,"['Training', 'hyperparameter', 'choices']","['is', 'done', 'have']",,,,,,,,,,is,is,"['Training', 'computationally expensive , often done on private datasets of different sizes , and , as we will show , hyperparameter choices have significant impact on the final results']",[],0,9,12,9,12,,,,,https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,1,"Training is computationally expensive, often done on private datasets of different sizes, and, as we will show, hyperparameter choices have significant impact on the final results.","['Training', 'is', 'computationally', 'expensive,', 'often', 'done', 'on', 'private', 'datasets', 'of', 'different', 'sizes,', 'and,', 'as', 'we', 'will', 'show,', 'hyperparameter', 'choices', 'have', 'significant', 'impact', 'on', 'the', 'final', 'results.']",,,,
8,We present a replication study of,BERT,"pretraining ( Devlin et al . , 2019 ) that carefully measures the impact of many key hyperparameters and training data size .",S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,present,0.0,3.0,10.0,3.0,10.0,['We'],['present'],present,['We'],"['a replication study of BERT pretraining ( Devlin et al . , 2019 )']",-1.0,0.0,3.0,11.0,3.0,11.0,measures,measures,['that'],['the impact of many key hyperparameters and training data size .'],2,92,101,53,62,measures,pretraining,"['PROPN', 'PROPN', 'ADP']","['BERT', 'et', 'of']",https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,2,"We present a replication study of BERT pretraining (Devlin et al., 2019) that carefully measures the impact of many key hyperparameters and training data size.","['We', 'present', 'a', 'replication', 'study', 'of', 'BERT', 'pretraining', '(', 'Devlin', 'et', 'al', '.', ',', '2019', ')', 'that', 'carefully', 'measures', 'the', 'impact', 'of', 'many', 'key', 'hyperparameters', 'and', 'training', 'data', 'size', '.']","(6, 7)","(33, 37)",0.0,89.0
9,We find that,BERT,"was significantly undertrained , and can match or exceed the performance of every model published after it .",S,"['NP', 'VP', '.']",We,0.0,0.0,2.0,0.0,2.0,find,0.0,3.0,7.0,3.0,7.0,['We'],['find'],find,[],"['that BERT was significantly undertrained , and can match or exceed the performance of every model published after it .']",-1.0,0.0,3.0,8.0,3.0,8.0,We,We,[],"['find that BERT was significantly undertrained , and can match or exceed the performance of every model published after it .']",0,0,3,0,3,was,was,"['PROPN', 'ADV', 'VERB']","['BERT', 'significantly', 'find']",https://www.semanticscholar.org/paper/RoBERTa%3A-A-Robustly-Optimized-BERT-Pretraining-Liu-Ott/077f8329a7b6fa3b7c877a57b81eb6c18b5f87de,1,Abstract,3,"We find that BERT was significantly undertrained, and can match or exceed the performance of every model published after it.","['We', 'find', 'that', 'BERT', 'was', 'significantly', 'undertrained', ',', 'and', 'can', 'match', 'or', 'exceed', 'the', 'performance', 'of', 'every', 'model', 'published', 'after', 'it', '.']","(3, 4)","(12, 16)",0.0,87.0
