,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,,,,,,,,,,seasonal allergic rhinitis,(,SAR,) .,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,"Ontario , Quebec and Manitoba .",,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,Two hundred and eighty,-,four,out,-,patients,with,SAR,",",who,were,symptomatic,during,the ragweed season,",",volunteered,for,enrolment,(,243,randomized,),.,,,,,,,,,,
13,,,,,,,,Two hundred and eighty,-,four out,- patients,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,SAR,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,symptomatic,during,the ragweed season,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,SAR .,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,SAR .,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,seasonal allergic rhinitis .,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,seasonal allergic rhinitis .,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,tonsillectomy,with or without,adenoidectomy,in,children,.,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,tonsillectomy,with or without,adenoidectomy,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,children,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,90 paediatric patients,",",ASA I,",",aged,4 - 10 years,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,90 paediatric patients,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,ASA I,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,aged 4 - 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,children,undergoing,general anaesthesia,for,tonsillectomy,.,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,children,undergoing,general anaesthesia,for,tonsillectomy,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,children .,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,children .,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,8 healthy volunteers,", and",6 women,with,untreated primary hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,8 healthy volunteers,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,6 women,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,untreated primary hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,healthy volunteers,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,healthy volunteers,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,healthy controls,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,The patients,with,hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,patients,with,hypothyroidism,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,normal subjects,and,in,patients,with,primary hypothyroidism,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,normal subjects,and,in,patients,with,primary hypothyroidism,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,healthy volunteers,and,in,patients,with,primary hypothyroidism,.,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,healthy volunteers,and,in,patients,with,primary hypothyroidism,.,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,36 premenopausal women,",",20,of,whom,used,OC,.,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,36 premenopausal women,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,used,OC,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,premenopausal OC or non - OC users .,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,premenopausal OC,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,non - OC users .,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,premenopausal women .,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,premenopausal women .,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,during,supportive periodontal therapy,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,40 subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,40 subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,supportive periodontal therapy,(,SPT,) .,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,61 inpatients,with,the diagnosis,Rhinitis,following,nasal operation,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,61 inpatients,with,the diagnosis,Rhinitis,following,nasal operation,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,patients,following,nasal operations,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,patients,following,nasal operations,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,rhinitis,following,nasal operation,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,rhinitis,following,nasal operation,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,after,nose surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,after,nose surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,patients,who,underwent,hysterectomy,.,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,underwent,hysterectomy,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,Forty patients,were,divided,into,four groups,of,ten,.,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,Forty patients,were,divided,into,four groups,of,ten,.,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,abdominal surgery .,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,,,,abdominal surgery .,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,hypertensive patients,receiving,drug treatment,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,hypertensive patients,receiving,drug treatment,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,hypertensives,on,"chronic , stable antihypertensive therapy",.,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,people,with,one or more,cardiovascular risk factors,.,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,,,,people,with,one or more,cardiovascular risk factors,.,,,,,,,,,,,,,,,,,,,,,,,
374,,,,,,,,,,Fifteen Italian hypertension units,studied,142 hypertensive patients,(,76 men,",",66 women,; mean,age 59 +,/-,5.9 years,),treated,with,different antihypertensive drugs,:,,,,,,,,,,,,
376,,,,,,,,,,hypertension,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,142 hypertensive,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,,,,76 men,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,,,,66 women,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,mean age 59 + /- 5.9 years,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,,,,,treated,with,different antihypertensive drugs,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,hypertensives,under,treatment,.,,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,treated hypertensive patients,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,treated hypertensive patients,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,Young children,with,pervasive developmental disorder,,,,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,Young children,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,pervasive developmental disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,(,7,with,autism,",",8,with,pervasive developmental disorder,not,otherwise,specified,-- NOS ),,,,,,,,,,,,,,,,,
418,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,autism,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,pervasive developmental disorder,not,otherwise,specified,--,NOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,,,,,(,7,with,autism,",",6,with,pervasive developmental disorder NOS,),,,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,7,with,autism,,,,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,6,with,pervasive developmental disorder NOS,,,,,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,Children,with,pervasive developmental disorder NOS,,,,,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,autism .,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,pervasive developmental disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,children,with,pervasive developmental disorder,.,,,,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,children,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,pervasive developmental disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,on,dogs and cats,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,dogs and cats,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,dogs and cats,showing,signs,of,flea allergy dermatitis (,FAD,),.,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,dogs and cats,showing,signs,of,flea allergy dermatitis (,FAD,),.,,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,Dogs and cats,with,naturally occurring,flea infestations,",",some,of,which,also,had,signs,associated,with,FAD,,,,,,,,,,,,,,
467,,,,,,,,,(,220 dogs,",",189 cats,),,,,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,Dogs and cats,with,naturally occurring,flea infestations,",",some,of,which,also,had,signs,associated,with,FAD,,,,,,,,,,,,,,
472,,,,,,,,,,220 dogs,",",189 cats,,,,,,,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,dogs and cats,diagnosed,clinically,with,FAD,.,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,dogs and cats,diagnosed,clinically,with,FAD,.,,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,397 dogs,free,of,adult heartworm infection,from,four heartworm,-,endemic areas,of,the USA,,,,,,,,,,,,,,,,,,
503,,,,,,,,,,397 dogs,free,of,adult heartworm infection,from,four heartworm,-,endemic areas,of,the USA,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,673 dogs,and,347 cats,having,an age range,of,6 weeks,to,19 years,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,673 dogs,and,347 cats,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,19 purebred or crossbred Collies (,Bearded,", Border , and unspecified",) .,,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,19,purebred or crossbred Collies (,Bearded,", Border , and unspecified",) .,,,,,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,in,dogs and cats,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,,,,dogs and cats,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,,,,,,,,,,dogs and cats .,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,,,,,,,,,,dogs and cats .,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,,,,,,,,,,dogs and cats,presented,as,veterinary patients,in,North America,.,,,,,,,,,,,,,,,,,,,,,
540,,,,,,,,,,dogs and cats,presented,as,veterinary patients,in,North America,.,,,,,,,,,,,,,,,,,,,,,
544,,,,,,,,,,Acute invasive diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,,,,,,,,in,children,.,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,,,,,,,,,,children .,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,,,,,,,,,,acute invasive diarrhea,requiring,an emergency visit,in,southern Israel,.,,,,,,,,,,,,,,,,,,,,,,
550,,,,,,,,,,invasive diarrhea .,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,,,,,,,,,,acute invasive diarrhea,in,infants and children,.,,,,,,,,,,,,,,,,,,,,,,,,
555,,,,,,,,,,acute invasive diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,
