,src,alignsegments,aligntypes,alignctypes
1,seasonal allergic rhinitis ( SAR ) .,['seasonal allergic rhinitis ( SAR ) .'],['NP'],"[['JJ', 'JJ', 'NN', '-LRB-', 'NNP', '-RRB-', '.']]"
11,"Ontario , Quebec and Manitoba .","['Ontario , Quebec and Manitoba .']",['NP'],"[['NNP', ',', 'NNP', 'CC', 'NNP', '.']]"
12,"Two hundred and eighty-four out-patients with SAR , who were symptomatic during the ragweed season , volunteered for enrolment ( 243 randomized ) .","['Two hundred and eighty', '- four out - patients', 'with', 'SAR ,', 'who', 'were', 'symptomatic', 'during', 'the ragweed season ,', 'volunteered', 'for', 'enrolment ( 243', 'randomized', ')', '.']","['QP', 'NP', 'PP', 'NP', 'WHNP', 'VP', 'ADJP', 'PP', 'NP', 'VP', 'PP', 'NP', 'ADJP', 'NP', 'S']","[['CD', 'CD', 'CC', 'CD'], ['HYPH', 'CD', 'JJ', 'HYPH', 'NNS'], ['IN'], ['NNP', ','], ['WP'], ['VBD'], ['JJ'], ['IN'], ['DT', 'VBN', 'NN', ','], ['VBD'], ['IN'], ['NN', '-LRB-', 'CD'], ['JJ'], ['-RRB-'], ['.']]"
13,Two hundred and eighty-four out-patients,"['Two hundred and eighty', '- four out - patients']","['QP', 'NP']","[['CD', 'CD', 'CC', 'CD'], ['HYPH', 'CD', 'JJ', 'HYPH', 'NNS']]"
14,SAR,['SAR'],['NP'],[['NNP']]
15,symptomatic during the ragweed season,"['symptomatic', 'during', 'the ragweed season']","['ADJP', 'PP', 'NP']","[['JJ'], ['IN'], ['DT', 'NN', 'NN']]"
16,243,['243'],['NP'],[['CD']]
40,SAR .,['SAR .'],['NP'],"[['NNP', '.']]"
45,SAR .,['SAR .'],['NP'],"[['NNP', '.']]"
56,seasonal allergic rhinitis .,['seasonal allergic rhinitis .'],['NP'],"[['JJ', 'JJ', 'NN', '.']]"
59,seasonal allergic rhinitis .,['seasonal allergic rhinitis .'],['NP'],"[['JJ', 'JJ', 'NN', '.']]"
62,tonsillectomy with or without adenoidectomy in children .,"['tonsillectomy', 'with or without', 'adenoidectomy', 'in', 'children', '.']","['NP', 'PP', 'NP', 'PP', 'NP', 'FRAG']","[['NN'], ['IN', 'CC', 'IN'], ['NN'], ['IN'], ['NNS'], ['.']]"
66,tonsillectomy with or without adenoidectomy,"['tonsillectomy', 'with or without', 'adenoidectomy']","['NP', 'PP', 'NP']","[['NN'], ['IN', 'CC', 'IN'], ['NN']]"
67,children,['children'],['NP'],[['NNS']]
71,"90 paediatric patients , ASA I , aged 4-10 years","['90 paediatric patients , ASA I , aged 4 - 10 years']",['NP'],"[['CD', 'JJ', 'NNS', ',', 'NNP', 'NNP', ',', 'JJ', 'CD', 'SYM', 'CD', 'NNS']]"
74,90 paediatric patients,['90 paediatric patients'],['NP'],"[['CD', 'JJ', 'NNS']]"
75,ASA I,['ASA I'],['NP'],"[['NNP', 'PRP']]"
76,aged 4-10 years,['aged 4 - 10 years'],['NP'],"[['JJ', 'CD', 'SYM', 'CD', 'NNS']]"
90,children undergoing general anaesthesia for tonsillectomy .,"['children', 'undergoing', 'general anaesthesia', 'for', 'tonsillectomy', '.']","['NP', 'VP', 'NP', 'PP', 'NP', 'S']","[['NNS'], ['VBG'], ['JJ', 'NNP'], ['IN'], ['NN'], ['.']]"
94,children undergoing general anaesthesia for tonsillectomy,"['children', 'undergoing', 'general anaesthesia', 'for', 'tonsillectomy']","['NP', 'VP', 'NP', 'PP', 'NP']","[['NNS'], ['VBG'], ['JJ', 'NNP'], ['IN'], ['NN']]"
99,children .,['children .'],['NP'],"[['NNS', '.']]"
104,children .,['children .'],['NP'],"[['NNS', '.']]"
117,"8 healthy volunteers , and 6 women with untreated primary hypothyroidism","['8 healthy volunteers , and 6 women', 'with', 'untreated primary hypothyroidism']","['NP', 'PP', 'NP']","[['CD', 'JJ', 'NNS', ',', 'CC', 'CD', 'NNS'], ['IN'], ['JJ', 'JJ', 'NN']]"
119,8 healthy volunteers,['8 healthy volunteers'],['NP'],"[['CD', 'JJ', 'NNS']]"
120,6 women,['6 women'],['NP'],"[['CD', 'NNS']]"
