,text,src,Type,misc,ID,ann_section,ann_source,class
1,seasonal allergic rhinitis ( SAR ) .,1,Abstract,ss_p,10070173,test,gold,p
2,budesonide Turbuhaler,1,Abstract,ss_i,10070173,test,gold,i
3,budesonide aqua,1,Abstract,ss_i,10070173,test,gold,i
4,budesonide Turbuhaler,1,Abstract,hl_i,10070173,test,gold,i
5,budesonide aqua,1,Abstract,hl_i,10070173,test,gold,i
6,patients ' preferences for the two nasal devices,2,Abstract,ss_o,10070173,test,gold,o
7,quality of life .,2,Abstract,ss_o,10070173,test,gold,o
8,patients ' preferences,2,Abstract,hl_o,10070173,test,gold,o
9,quality of life .,2,Abstract,hl_o,10070173,test,gold,o
11,"Ontario , Quebec and Manitoba .",4,Abstract,ss_p,10070173,test,gold,p
12,"Two hundred and eighty-four out-patients with SAR , who were symptomatic during the ragweed season , volunteered for enrolment ( 243 randomized ) .",5,Abstract,ss_p,10070173,test,gold,p
13,Two hundred and eighty-four out-patients,5,Abstract,hl_p,10070173,test,gold,p
14,SAR,5,Abstract,hl_p,10070173,test,gold,p
15,symptomatic during the ragweed season,5,Abstract,hl_p,10070173,test,gold,p
16,243,5,Abstract,hl_p,10070173,test,gold,p
17,Mean daily nasal symptom scores,6,Abstract,ss_o,10070173,test,gold,o
18,Mean daily nasal symptom scores,6,Abstract,hl_o,10070173,test,gold,o
19,eye symptoms .,7,Abstract,ss_o,10070173,test,gold,o
20,eye symptoms .,7,Abstract,hl_o,10070173,test,gold,o
21,budesonide .,8,Abstract,ss_i,10070173,test,gold,i
22,budesonide .,8,Abstract,hl_i,10070173,test,gold,i
23,nasal and non-nasal adverse events,9,Abstract,ss_o,10070173,test,gold,o
24,epistaxis,9,Abstract,ss_o,10070173,test,gold,o
25,headache .,9,Abstract,ss_o,10070173,test,gold,o
26,nasal and non-nasal adverse events,9,Abstract,hl_o,10070173,test,gold,o
27,epistaxis,9,Abstract,hl_o,10070173,test,gold,o
28,headache .,9,Abstract,hl_o,10070173,test,gold,o
29,Turbuhaler,10,Abstract,ss_i,10070173,test,gold,i
30,unpleasant taste,10,Abstract,ss_o,10070173,test,gold,o
31,nasal irritation,10,Abstract,ss_o,10070173,test,gold,o
32,Turbuhaler,10,Abstract,hl_i,10070173,test,gold,i
33,nasal irritation,10,Abstract,hl_o,10070173,test,gold,o
34,Turbuhaler,11,Abstract,ss_i,10070173,test,gold,i
35,aqua spray,11,Abstract,ss_i,10070173,test,gold,i
36,Turbuhaler,11,Abstract,hl_i,10070173,test,gold,i
37,aqua spray,11,Abstract,hl_i,10070173,test,gold,i
38,quality of life,12,Abstract,ss_o,10070173,test,gold,o
39,quality of life,12,Abstract,hl_o,10070173,test,gold,o
40,SAR .,13,Abstract,ss_p,10070173,test,gold,p
41,budesonide aqua,13,Abstract,ss_i,10070173,test,gold,i
42,budesonide Turbuhaler,13,Abstract,ss_i,10070173,test,gold,i
43,safe,13,Abstract,ss_o,10070173,test,gold,o
44,efficacious,13,Abstract,ss_o,10070173,test,gold,o
45,SAR .,13,Abstract,hl_p,10070173,test,gold,p
46,budesonide aqua,13,Abstract,hl_i,10070173,test,gold,i
47,budesonide Turbuhaler,13,Abstract,hl_i,10070173,test,gold,i
48,safe,13,Abstract,hl_o,10070173,test,gold,o
49,efficacious,13,Abstract,hl_o,10070173,test,gold,o
50,budesonide powder,14,Abstract,ss_i,10070173,test,gold,i
51,Turbuhaler,14,Abstract,ss_i,10070173,test,gold,i
52,aqua,14,Abstract,ss_i,10070173,test,gold,i
53,budesonide powder,14,Abstract,hl_i,10070173,test,gold,i
54,Turbuhaler,14,Abstract,hl_i,10070173,test,gold,i
55,aqua,14,Abstract,hl_i,10070173,test,gold,i
56,seasonal allergic rhinitis .,0,Title,ss_p,10070173,test,gold,p
57,budesonide Turbuhaler,0,Title,ss_i,10070173,test,gold,i
58,budesonide aqua,0,Title,ss_i,10070173,test,gold,i
59,seasonal allergic rhinitis .,0,Title,hl_p,10070173,test,gold,p
60,budesonide Turbuhaler,0,Title,hl_i,10070173,test,gold,i
61,budesonide aqua,0,Title,hl_i,10070173,test,gold,i
62,tonsillectomy with or without adenoidectomy in children .,0,Abstract,ss_p,10390665,test,gold,p
63,granisetron,0,Abstract,ss_i,10390665,test,gold,i
64,perphenazine,0,Abstract,ss_i,10390665,test,gold,i
65,efficacy,0,Abstract,ss_o,10390665,test,gold,o
66,tonsillectomy with or without adenoidectomy,0,Abstract,hl_p,10390665,test,gold,p
67,children,0,Abstract,hl_p,10390665,test,gold,p
68,granisetron,0,Abstract,hl_i,10390665,test,gold,i
69,perphenazine,0,Abstract,hl_i,10390665,test,gold,i
70,efficacy,0,Abstract,hl_o,10390665,test,gold,o
71,"90 paediatric patients , ASA I , aged 4-10 years",1,Abstract,ss_p,10390665,test,gold,p
72,granisetron,1,Abstract,ss_i,10390665,test,gold,i
73,perphenazine,1,Abstract,ss_i,10390665,test,gold,i
74,90 paediatric patients,1,Abstract,hl_p,10390665,test,gold,p
75,ASA I,1,Abstract,hl_p,10390665,test,gold,p
76,aged 4-10 years,1,Abstract,hl_p,10390665,test,gold,p
77,granisetron,1,Abstract,hl_i,10390665,test,gold,i
78,perphenazine,1,Abstract,hl_i,10390665,test,gold,i
80,granisetron,3,Abstract,ss_i,10390665,test,gold,i
81,perphenazine,3,Abstract,ss_i,10390665,test,gold,i
82,"complete response , defined as no emesis with no need for another rescue antiemetic",3,Abstract,ss_o,10390665,test,gold,o
83,granisetron,3,Abstract,hl_i,10390665,test,gold,i
84,perphenazine,3,Abstract,hl_i,10390665,test,gold,i
85,"complete response , defined as no emesis with no need for another rescue antiemetic",3,Abstract,hl_o,10390665,test,gold,o
86,corresponding incidence,4,Abstract,ss_o,10390665,test,gold,o
87,corresponding incidence,4,Abstract,hl_o,10390665,test,gold,o
88,adverse events,5,Abstract,ss_o,10390665,test,gold,o
89,adverse events,5,Abstract,hl_o,10390665,test,gold,o
90,children undergoing general anaesthesia for tonsillectomy .,6,Abstract,ss_p,10390665,test,gold,p
91,granisetron,6,Abstract,ss_i,10390665,test,gold,i
92,perphenazine,6,Abstract,ss_i,10390665,test,gold,i
93,long-term prevention of post-operative vomiting,6,Abstract,ss_o,10390665,test,gold,o
