,p,p_src,p_type,i,i_src,i_type,o,o_src,o_type,ID
0,"['seasonal allergic rhinitis ( SAR ) .', 'Ontario , Quebec and Manitoba .', 'Two hundred and eighty-four out-patients with SAR , who were symptomatic during the ragweed season , volunteered for enrolment ( 243 randomized ) .', 'Two hundred and eighty-four out-patients', 'SAR', 'symptomatic during the ragweed season', '243', 'SAR .', 'SAR .', 'seasonal allergic rhinitis .', 'seasonal allergic rhinitis .']","[1, 4, 5, 5, 5, 5, 5, 13, 13, 0, 0]","['ss_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['budesonide Turbuhaler', 'budesonide aqua', 'budesonide Turbuhaler', 'budesonide aqua', 'budesonide .', 'budesonide .', 'Turbuhaler', 'Turbuhaler', 'Turbuhaler', 'aqua spray', 'Turbuhaler', 'aqua spray', 'budesonide aqua', 'budesonide Turbuhaler', 'budesonide aqua', 'budesonide Turbuhaler', 'budesonide powder', 'Turbuhaler', 'aqua', 'budesonide powder', 'Turbuhaler', 'aqua', 'budesonide Turbuhaler', 'budesonide aqua', 'budesonide Turbuhaler', 'budesonide aqua']","[1, 1, 1, 1, 8, 8, 10, 10, 11, 11, 11, 11, 13, 13, 13, 13, 14, 14, 14, 14, 14, 14, 0, 0, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","[""patients ' preferences for the two nasal devices"", 'quality of life .', ""patients ' preferences"", 'quality of life .', 'Mean daily nasal symptom scores', 'Mean daily nasal symptom scores', 'eye symptoms .', 'eye symptoms .', 'nasal and non-nasal adverse events', 'epistaxis', 'headache .', 'nasal and non-nasal adverse events', 'epistaxis', 'headache .', 'unpleasant taste', 'nasal irritation', 'nasal irritation', 'quality of life', 'quality of life', 'safe', 'efficacious', 'safe', 'efficacious']","[2, 2, 2, 2, 6, 6, 7, 7, 9, 9, 9, 9, 9, 9, 10, 10, 10, 12, 12, 13, 13, 13, 13]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o']",10070173
1,"['tonsillectomy with or without adenoidectomy in children .', 'tonsillectomy with or without adenoidectomy', 'children', '90 paediatric patients , ASA I , aged 4-10 years', '90 paediatric patients', 'ASA I', 'aged 4-10 years', 'children undergoing general anaesthesia for tonsillectomy .', 'children undergoing general anaesthesia for tonsillectomy', 'children .', 'children .']","[0, 0, 0, 1, 1, 1, 1, 6, 6, 0, 0]","['ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['granisetron', 'perphenazine', 'granisetron', 'perphenazine', 'granisetron', 'perphenazine', 'granisetron', 'perphenazine', 'granisetron', 'perphenazine', 'granisetron', 'perphenazine', 'granisetron', 'perphenazine', 'granisetron', 'perphenazine', 'granisetron', 'perphenazine', 'granisetron', 'perphenazine']","[0, 0, 0, 0, 1, 1, 1, 1, 3, 3, 3, 3, 6, 6, 6, 6, 0, 0, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['efficacy', 'efficacy', 'complete response , defined as no emesis with no need for another rescue antiemetic', 'complete response , defined as no emesis with no need for another rescue antiemetic', 'corresponding incidence', 'corresponding incidence', 'adverse events', 'adverse events', 'long-term prevention of post-operative vomiting', 'long-term prevention', 'post-operative vomiting', 'Anti-emetic efficacy', 'prevention', 'Anti-emetic efficacy', 'prevention']","[0, 0, 3, 3, 4, 4, 5, 5, 6, 6, 6, 0, 0, 0, 0]","['ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o']",10390665
2,"['8 healthy volunteers , and 6 women with untreated primary hypothyroidism', '8 healthy volunteers', '6 women', 'untreated primary hypothyroidism', 'healthy volunteers', 'healthy volunteers', 'healthy controls', 'The patients with hypothyroidism', 'patients with hypothyroidism', 'normal subjects and in patients with primary hypothyroidism', 'normal subjects and in patients with primary hypothyroidism', 'healthy volunteers and in patients with primary hypothyroidism .', 'healthy volunteers and in patients with primary hypothyroidism .']","[2, 2, 2, 2, 4, 4, 6, 7, 7, 10, 10, 0, 0]","['ss_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['Somatostatin', 'Somatostatin', 'somatostatin', 'somatostatin', 'saline', 'octreotide ( Sandostatin ;', 'saline', 'octreotide ( Sandostatin ;', 'octreotide', 'saline .', 'octreotide', 'saline .', 'octreotide', 'octreotide', 'saline ;', 'octreotide', 'octreotide', 'saline ;', 'octreotide', 'saline .', 'octreotide', 'saline .', 'octreotide', 'octreotide', 'saline ;', 'octreotide', 'somatostatin .', 'octreotide', 'octreotide', 'saline ;', 'octreotide', 'somatostatin .', 'somatostatin -- in', 'octreotide -- fails', 'somatostatin', 'somatostatin', 'octreotide', 'somatostatin', 'somatostatin ( octreotide )', 'somatostatin ( octreotide )']","[0, 0, 1, 1, 3, 3, 3, 3, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 10, 10, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i']","['regulation of melatonin secretion .', 'melatonin secretion .', 'regulatory influence on melatonin secretion', 'melatonin secretion', 'nocturnal melatonin secretion', 'nocturnal melatonin secretion', 'melatonin secretion', 'melatonin secretion', 'urinary excretion of melatonin', 'urinary excretion of melatonin', 'GH secretion', 'GH secretion', 'nocturnal melatonin secretion', 'nocturnal melatonin secretion', 'Urinary excretion of melatonin', 'Urinary excretion of melatonin', 'total nocturnal secretion of TSH', 'total nocturnal secretion of TSH', 'nocturnal secretion and urinary excretion of melatonin', 'regulator of melatonin secretion', 'nocturnal secretion and urinary excretion of melatonin', 'regulation of melatonin secretion', 'melatonin secretion']","[0, 0, 1, 1, 2, 2, 4, 4, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 10, 10, 10, 0, 0]","['ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",10475150
3,"['36 premenopausal women , 20 of whom used OC .', '36 premenopausal women', '20', 'used OC', 'premenopausal OC or non-OC users .', 'premenopausal OC', 'non-OC users .', 'premenopausal women .', 'premenopausal women .']","[2, 2, 2, 2, 7, 7, 7, 0, 0]","['ss_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p']","['soy', 'soy', 'soy', 'soy', 'soy', 'soy', 'soy', 'normal diet', 'soy beverage', 'soy beverage', 'soy', 'soy', 'soy', 'soy', 'soy', 'soy']","[0, 0, 1, 1, 1, 2, 2, 3, 3, 3, 4, 4, 7, 7, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['hormonal effects', 'sex hormone metabolism', 'menstrual function or serum sex hormones', 'sex hormone metabolism', 'serum estrone , estradiol , sex hormone-binding globulin , dehydroepiandrosterone sulfate , prolactin , or progesterone concentrations', 'serum estrone , estradiol , sex hormone-binding globulin , dehydroepiandrosterone sulfate , prolactin , or progesterone concentrations', 'menstrual cycle length or the urinary estrogen metabolite ratio of 2-hydroxyestrone to 16 alpha-hydroxyestrone', 'menstrual cycle length or the urinary estrogen metabolite ratio of 2-hydroxyestrone to 16 alpha-hydroxyestrone', 'urinary estrogen metabolites', 'urinary estrogen metabolites', 'menstrual cycle , serum sex hormones , or urinary estrogen metabolite ratio', 'menstrual cycle , serum sex hormones , or urinary estrogen metabolite ratio', 'sex hormone metabolism', 'sex hormone metabolism']","[0, 1, 1, 1, 4, 4, 5, 5, 6, 6, 7, 7, 0, 0]","['ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",10578479
4,"['during supportive periodontal therapy .', '40 subjects', '40 subjects', '20', '20', 'supportive periodontal therapy ( SPT ) .']","[3, 4, 4, 5, 6, 0]","['ss_p', 'ss_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p']","['non-root substance removing curettes', 'plastic curettes', 'plastic curettes', 'conventional steel curettes', 'plastic curettes', 'conventional steel curettes', 'conventional steel curettes', 'conventional steel curettes', 'plastic curettes', 'plastic curettes', 'non-root substance removing curettes', 'non-root substance removing curettes', 'conventional steel', 'non-tooth substance removing plastic curettes']","[1, 2, 3, 3, 3, 3, 5, 5, 6, 6, 11, 11, 0, 0]","['ss_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i']","['clinical effects', 'clinical effects', 'effects', 'bleeding on probing ( BOP ) and probing pocket depth ( PPD )', 'bleeding on probing ( BOP ) and probing pocket depth ( PPD )', 'BOP percentage', 'BOP percentage', 'BOP and PPD', 'BOP and PPD', 'BOP percentage', 'BOP', 'BOP', 'BOP percentage', 'BOP', 'BOP', 'Clinical effects', 'Clinical effects']","[2, 2, 3, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 0, 0]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o']",10589810
5,"['61 inpatients with the diagnosis Rhinitis following nasal operation', '61 inpatients with the diagnosis Rhinitis following nasal operation', 'patients following nasal operations', 'patients following nasal operations', 'rhinitis following nasal operation', 'rhinitis following nasal operation', 'after nose surgery', 'after nose surgery']","[2, 2, 8, 8, 10, 10, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['Xylometazoline', 'Dexpanthenol ( Nasic )', 'Xylometazoline alone .', 'Xylometazoline', 'Dexpanthenol ( Nasic )', 'Xylometazoline', 'verum', 'placebo', 'verum', 'placebo', 'Xylometazoline-Dexpanthenol', 'Xylometazoline', 'Xylometazoline-Dexpanthenol', 'Xylometazoline', 'Xylometazoline-Dexpanthenol', 'Xylometazoline', 'Xylometazoline-Dexpanthenol', 'Xylometazoline', 'xylometazoline', 'dexpanthenol ]', 'xylometazoline', 'dexpanthenol ]']","[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 5, 5, 5, 5, 10, 10, 10, 10, 0, 0, 0, 0]","['ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i']","['efficacy', 'tolerability', 'efficacy', 'tolerability', 'nasal-breathing-resistance according to scores was defined as target-parameter .', 'nasal-breathing-resistance according to scores', 'superiority', 'target-parameter', 'efficacy', 'tolerability', 'efficacy', 'tolerability', 'compliance', 'compliance', 'improvement', 'efficacy', 'improvement', 'efficacy', 'tolerability', 'tolerability', '[ Improving wound healing', 'wound healing']","[0, 0, 0, 0, 3, 3, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 8, 9, 9, 0, 0]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",10763172
6,"['patients who underwent hysterectomy .', 'underwent hysterectomy', 'Forty patients were divided into four groups of ten .', 'Forty patients were divided into four groups of ten .', 'abdominal surgery .', 'abdominal surgery .']","[0, 0, 1, 1, 12, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p']","['morphine', 'morphine', 'morphine', 'morphine', 'morphine', 'morphine', 'morphine', 'morphine', 'morphine', 'morphine', 'morphine', 'morphine']","[0, 0, 2, 2, 2, 2, 2, 2, 12, 12, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['natural killer ( NK ) cell activity', 'natural killer ( NK ) cell activity', 'blood NK cell activity', 'chromium release assay with K562 cells as targets , plasma catecholamines and cortisol levels .', 'postoperative pain score and side effects', 'postoperative pain score and side effects', 'NK cell activity', 'NK cell activity', 'NK cell activities', 'NK cell activities', 'plasma adrenaline', 'noradrenaline concentrations', 'plasma adrenaline', 'noradrenaline concentrations', 'plasma cortisol levels', 'plasma cortisol levels', 'pain score', 'pain score', 'NK cell activity', 'NK cell activity']","[0, 0, 5, 5, 6, 6, 7, 7, 8, 8, 9, 9, 9, 9, 10, 10, 11, 11, 0, 0]","['ss_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",10764172
7,"['hypertensive patients receiving drug treatment', 'hypertensive patients receiving drug treatment', 'hypertensives on chronic , stable antihypertensive therapy .', 'people with one or more cardiovascular risk factors .', 'people with one or more cardiovascular risk factors .', 'Fifteen Italian hypertension units studied 142 hypertensive patients ( 76 men , 66 women ; mean age 59 +/- 5.9 years ) treated with different antihypertensive drugs :', 'hypertension', '142 hypertensive', '76 men', '66 women', 'mean age 59 +/- 5.9 years', 'treated with different antihypertensive drugs', 'hypertensives under treatment .', 'treated hypertensive patients .', 'treated hypertensive patients .']","[1, 1, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 10, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p']","['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin', 'vitamin E', 'aspirin', 'vitamin E', 'aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']","[1, 1, 2, 2, 3, 3, 3, 3, 4, 4, 5, 5, 7, 7, 9, 9, 10, 10, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['blood pressure ( BP ) control', 'blood pressure ( BP ) control', 'clinic and ambulatory systolic ( SBP ) and diastolic ( DBP ) BP', 'clinic and ambulatory systolic ( SBP ) and diastolic ( DBP ) BP', 'clinic BP', '24-h ambulatory BP monitoring', 'clinic BP', '24-h ambulatory BP monitoring', 'clinic SBP and DBP', 'clinic SBP and DBP', 'Ambulatory SBP and DBP', 'Ambulatory SBP and DBP', 'BP', 'BP', 'clinic and ambulatory blood pressure', 'clinic and ambulatory blood pressure']","[1, 1, 2, 2, 5, 5, 5, 5, 6, 6, 7, 7, 10, 10, 0, 0]","['ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o']",10912743
8,"['Young children with pervasive developmental disorder', 'Young children', 'pervasive developmental disorder', '( 7 with autism , 8 with pervasive developmental disorder not otherwise specified -- NOS )', '7', 'autism', '8', 'pervasive developmental disorder not otherwise specified -- NOS', '( 7 with autism , 6 with pervasive developmental disorder NOS )', '7 with autism', '6 with pervasive developmental disorder NOS', 'Children with pervasive developmental disorder NOS', 'autism .', 'Children', 'pervasive developmental disorder', 'children with pervasive developmental disorder .', 'children', 'pervasive developmental disorder']","[0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 4, 4, 4, 4, 0, 0, 0]","['ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'hl_p']","['intensive treatment', 'parent training .', 'intensive treatment', 'parent training .', 'intensive treatment', 'intensive treatment', 'parent training', 'parent training .', 'parent training', 'parent training .', 'intensive treatment', 'parent training', 'intensive treatment', 'parent training', 'intensive early intervention', 'intensive early intervention']","[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 0, 0]","['ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i']","['intelligence , visual-spatial skills , language , and academics', 'adaptive functioning', 'behavior problems .', 'intelligence', 'visual-spatial skills', 'language', 'academics', 'adaptive functioning', 'behavior problems .']","[3, 3, 3, 3, 3, 3, 3, 3, 3]","['ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o', 'hl_o']",10934569
9,"['on dogs and cats', 'dogs and cats', 'dogs and cats showing signs of flea allergy dermatitis ( FAD ) .', 'dogs and cats showing signs of flea allergy dermatitis ( FAD ) .', 'Dogs and cats with naturally occurring flea infestations , some of which also had signs associated with FAD', '( 220 dogs , 189 cats )', 'Dogs and cats with naturally occurring flea infestations , some of which also had signs associated with FAD', '220 dogs , 189 cats', 'dogs and cats diagnosed clinically with FAD .', 'dogs and cats diagnosed clinically with FAD .', '397 dogs free of adult heartworm infection from four heartworm-endemic areas of the USA', '397 dogs free of adult heartworm infection from four heartworm-endemic areas of the USA', '673 dogs and 347 cats having an age range of 6 weeks to 19 years', '673 dogs and 347 cats', '19 purebred or crossbred Collies ( Bearded , Border , and unspecified ) .', '19 purebred or crossbred Collies ( Bearded , Border , and unspecified ) .', 'in dogs and cats', 'dogs and cats', 'dogs and cats .', 'dogs and cats .', 'dogs and cats presented as veterinary patients in North America .', 'dogs and cats presented as veterinary patients in North America .']","[0, 0, 1, 1, 3, 3, 3, 3, 9, 9, 10, 10, 12, 12, 13, 13, 15, 15, 16, 16, 0, 0]","['ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'ss_p', 'hl_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p', 'ss_p', 'hl_p']","['selamectin', 'selamectin', 'selamectin', 'selamectin', 'selamectin', 'selamectin', 'selamectin', 'fenthion', 'pyrethrins', 'selamectin', 'fenthion', 'pyrethrins', 'Selamectin', 'Selamectin', 'selamectin-treated', 'fenthion-treated', 'selamectin-treated', 'selamectin-treated', 'pyrethrin-treated', 'Selamectin', 'Selamectin', 'selamectin', 'ivermectin', 'selamectin', 'ivermectin', 'Selamectin', 'Selamectin', 'Selamectin', 'Selamectin', 'selamectin', 'selamectin', 'Selamectin', 'Selamectin', 'selamectin', 'selamectin']","[0, 0, 1, 1, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 7, 7, 7, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 12, 12, 15, 15, 16, 16, 0, 0]","['ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'ss_i', 'hl_i', 'ss_i', 'ss_i', 'hl_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i', 'ss_i', 'hl_i']","['efficacy', 'safety', 'efficacy', 'safety', 'flea comb counts and clinical evaluations of FAD', 'flea comb counts', 'clinical evaluations of FAD', 'mean flea counts', 'mean flea counts', 'mean flea counts', 'mean flea counts', 'mean flea counts', 'mean flea counts', 'mean flea counts', 'mean flea counts', 'signs', 'heartworm prevention rate', 'microfilariae and adult heartworm antigen', 'heartworm prevention rate', 'adverse events .', 'adverse events .', 'effective', 'signs associated with FAD .', 'effective', 'signs associated with FAD .', 'effective', 'heartworms', 'safe', 'heartworms', 'safe', 'Efficacy', 'safety', 'Efficacy', 'safety']","[0, 0, 0, 0, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 9, 11, 11, 11, 14, 14, 15, 15, 15, 15, 16, 16, 16, 16, 16, 0, 0, 0, 0]","['ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'ss_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o', 'ss_o', 'ss_o', 'hl_o', 'hl_o']",10940525
