,split_0,split_1,split_2,split_tokens,split_anchor_span,split_anchor_indices,within_anchor_index,split_anchor_type,ID,Type,Index,ann_section,ann_source,order_cluster
0,Comparison of budesonide Turbuhaler with budesonide aqua in the treatment of,seasonal allergic rhinitis .,,"['Comparison', 'of', 'budesonide', 'Turbuhaler', 'with', 'budesonide', 'aqua', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '.']","(11, 15)","(76, 104)",-1,ss_p,10070173,Title,0,test,gold,3585.0
1,Comparison of,budesonide Turbuhaler,with budesonide aqua in the treatment of seasonal allergic rhinitis .,"['Comparison', 'of', 'budesonide', 'Turbuhaler', 'with', 'budesonide', 'aqua', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '.']","(2, 4)","(13, 34)",-1,ss_i,10070173,Title,0,test,gold,5231.0
2,Comparison of budesonide Turbuhaler with,budesonide aqua,in the treatment of seasonal allergic rhinitis .,"['Comparison', 'of', 'budesonide', 'Turbuhaler', 'with', 'budesonide', 'aqua', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '.']","(5, 7)","(40, 55)",-1,ss_i,10070173,Title,0,test,gold,5221.0
3,Comparison of budesonide Turbuhaler with budesonide aqua in the treatment of,seasonal allergic rhinitis .,,"['Comparison', 'of', 'budesonide', 'Turbuhaler', 'with', 'budesonide', 'aqua', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '.']","(11, 15)","(76, 104)",-1,hl_p,10070173,Title,0,test,gold,3586.0
4,Comparison of,budesonide Turbuhaler,with budesonide aqua in the treatment of seasonal allergic rhinitis .,"['Comparison', 'of', 'budesonide', 'Turbuhaler', 'with', 'budesonide', 'aqua', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '.']","(2, 4)","(13, 34)",-1,hl_i,10070173,Title,0,test,gold,5232.0
5,Comparison of budesonide Turbuhaler with,budesonide aqua,in the treatment of seasonal allergic rhinitis .,"['Comparison', 'of', 'budesonide', 'Turbuhaler', 'with', 'budesonide', 'aqua', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '.']","(5, 7)","(40, 55)",-1,hl_i,10070173,Title,0,test,gold,5222.0
6,Rhinocort Study Group .,,,"['Rhinocort', 'Study', 'Group', '.']",,,,,10070173,Abstract,0,test,gold,
7,OBJECTIVE To compare the effect of budesonide Turbuhaler 400 microg/day with budesonide aqua 256 microg/day in the treatment of,seasonal allergic rhinitis ( SAR ) .,,"['OBJECTIVE', 'To', 'compare', 'the', 'effect', 'of', 'budesonide', 'Turbuhaler', '400', 'microg/day', 'with', 'budesonide', 'aqua', '256', 'microg/day', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '(', 'SAR', ')', '.']","(19, 26)","(127, 163)",-1,ss_p,10070173,Abstract,1,test,gold,3584.0
8,OBJECTIVE To compare the effect of,budesonide Turbuhaler,400 microg/day with budesonide aqua 256 microg/day in the treatment of seasonal allergic rhinitis ( SAR ) .,"['OBJECTIVE', 'To', 'compare', 'the', 'effect', 'of', 'budesonide', 'Turbuhaler', '400', 'microg/day', 'with', 'budesonide', 'aqua', '256', 'microg/day', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '(', 'SAR', ')', '.']","(6, 8)","(34, 55)",-1,ss_i,10070173,Abstract,1,test,gold,5230.0
9,OBJECTIVE To compare the effect of budesonide Turbuhaler 400 microg/day with,budesonide aqua,256 microg/day in the treatment of seasonal allergic rhinitis ( SAR ) .,"['OBJECTIVE', 'To', 'compare', 'the', 'effect', 'of', 'budesonide', 'Turbuhaler', '400', 'microg/day', 'with', 'budesonide', 'aqua', '256', 'microg/day', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '(', 'SAR', ')', '.']","(11, 13)","(76, 91)",-1,ss_i,10070173,Abstract,1,test,gold,5220.0
10,OBJECTIVE To compare the effect of,budesonide Turbuhaler,400 microg/day with budesonide aqua 256 microg/day in the treatment of seasonal allergic rhinitis ( SAR ) .,"['OBJECTIVE', 'To', 'compare', 'the', 'effect', 'of', 'budesonide', 'Turbuhaler', '400', 'microg/day', 'with', 'budesonide', 'aqua', '256', 'microg/day', 'in', 'the', 'treatment', 'of', 'seasonal', 'allergic', 'rhinitis', '(', 'SAR', ')', '.']","(6, 8)","(34, 55)",-1,hl_i,10070173,Abstract,1,test,gold,5229.0
